CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Location	Subregions	"Time Period (Month, Day, Year)"	fDOM (QSU) (WS) SA	fCHL (ug/L) (WS) SA	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	estDOC (mg-C/L) SA	estDIN (uM) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%) (EXO) SA	Turb (FNU) (EXO) SA	fDOM (QSU) (EXO) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA
A3255	38.160815	-121.501001	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	27.57	2.93	5.43	1.47	22.71	6.91	21.15	131.20	0.0701	21.06	141.06	7.79	8.54	96.0	3.6	25.66	1.48	1.38	0.93	0.00	3.83
A3014	38.161472	-121.584852	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.49	2.08	3.52	1.05	17.04	4.57	20.44	124.37	0.0675	20.32	134.77	7.88	8.66	95.8	4.9	20.25	0.83	0.99	1.03	0.00	2.86
A3253	38.161988	-121.497667	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	27.22	2.99	5.24	1.35	22.38	6.60	21.08	132.98	0.0710	20.99	141.05	7.81	8.66	97.2	3.6	24.95	1.47	1.38	0.97	0.00	3.84
A3153	38.163071	-121.533213	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.63	2.15	4.36	1.18	18.10	5.54	20.01	124.72	0.0681	20.01	135.94	7.84	8.43	92.8	3.9	21.14	0.20	1.06	0.69	0.00	1.97
A3251	38.163416	-121.494502	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	25.06	2.77	4.89	1.27	20.37	6.16	20.93	126.50	0.0680	20.84	134.24	7.83	8.77	98.1	3.7	22.51	1.31	1.30	1.02	0.00	3.63
A3012	38.164159	-121.583544	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.49	2.05	3.52	1.09	17.04	4.61	20.45	124.47	0.0675	20.33	134.84	7.88	8.66	95.9	4.8	20.24	0.83	1.00	1.03	0.00	2.85
A3151	38.16496	-121.531009	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.62	2.13	4.34	1.18	18.09	5.52	20.01	124.78	0.0682	20.00	136.03	7.84	8.43	92.8	3.9	21.18	0.16	1.06	0.65	0.00	1.88
A3010	38.166941	-121.582654	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.51	2.04	3.53	1.11	17.05	4.64	20.47	124.60	0.0675	20.35	134.87	7.88	8.66	95.9	4.7	20.25	0.84	1.00	1.02	0.00	2.86
A3149	38.167752	-121.530098	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.64	2.10	4.32	1.14	18.12	5.47	20.00	124.93	0.0683	20.00	136.18	7.83	8.42	92.6	3.9	21.18	0.10	1.05	0.68	0.00	1.83
A3008	38.169562	-121.581041	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.54	1.99	3.57	1.13	17.09	4.70	20.57	125.02	0.0676	20.41	135.05	7.88	8.66	96.0	4.7	20.31	0.82	1.00	1.01	0.00	2.83
A3147	38.170099	-121.528198	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.65	2.07	4.31	1.12	18.12	5.43	20.00	124.99	0.0683	19.99	136.27	7.83	8.41	92.6	4.0	21.21	0.04	1.04	0.66	0.00	1.75
A3145	38.171598	-121.525131	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.66	2.07	4.32	1.10	18.13	5.41	19.99	124.99	0.0683	19.98	136.28	7.83	8.41	92.5	4.1	21.18	0.07	1.05	0.64	0.00	1.76
A3006	38.172387	-121.580124	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.53	1.99	3.58	1.13	17.08	4.71	20.60	125.18	0.0677	20.44	135.06	7.88	8.65	96.0	4.8	20.34	0.83	1.01	1.01	0.00	2.83
A3143	38.174333	-121.52457	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.69	2.07	4.33	1.09	18.15	5.42	19.99	125.00	0.0683	19.98	136.28	7.82	8.41	92.5	4.1	21.15	0.09	1.06	0.63	0.00	1.78
A3004	38.175211	-121.580539	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.50	2.01	3.59	1.14	17.04	4.73	20.64	125.36	0.0677	20.46	135.14	7.88	8.65	96.0	4.9	20.35	0.84	1.02	0.99	0.00	2.84
A3141	38.176938	-121.526261	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.71	2.06	4.32	1.08	18.18	5.40	20.00	125.04	0.0683	19.98	136.34	7.82	8.41	92.5	4.1	21.19	0.06	1.07	0.63	0.00	1.77
A3002	38.178019	-121.579516	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.51	2.01	3.58	1.14	17.05	4.72	20.66	125.31	0.0677	20.47	135.06	7.88	8.65	96.0	4.8	20.37	0.86	1.02	0.98	0.00	2.86
A3139	38.17964	-121.526731	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.77	2.10	4.27	1.04	18.23	5.31	19.99	125.05	0.0683	19.97	136.38	7.82	8.42	92.5	4.3	21.20	0.05	1.09	0.65	0.00	1.80
A3000	38.180644	-121.578141	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.50	2.02	3.57	1.14	17.05	4.71	20.66	125.27	0.0676	20.48	135.08	7.88	8.65	96.0	4.8	20.35	0.88	1.03	0.96	0.00	2.87
A2998	38.181763	-121.575002	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.55	2.01	3.56	1.15	17.09	4.71	20.67	124.86	0.0674	20.48	134.67	7.88	8.66	96.1	4.7	20.31	0.89	1.03	0.96	0.00	2.88
A2996	38.181962	-121.571385	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.58	1.99	3.56	1.17	17.13	4.73	20.67	124.35	0.0672	20.48	134.23	7.88	8.66	96.2	4.8	20.27	0.85	1.03	0.97	0.00	2.84
A3137	38.182215	-121.527557	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.79	2.13	4.22	1.01	18.25	5.23	19.97	125.01	0.0683	19.96	136.42	7.82	8.42	92.5	4.4	21.23	0.04	1.10	0.66	0.00	1.82
A2994	38.183429	-121.568212	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.47	1.98	3.54	1.19	17.02	4.73	20.66	123.90	0.0670	20.47	133.88	7.88	8.67	96.2	4.7	20.24	0.85	1.02	0.95	0.00	2.81
A3135	38.18414	-121.524709	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.79	2.15	4.16	0.98	18.25	5.15	19.94	124.88	0.0683	19.93	136.39	7.82	8.42	92.5	4.5	21.19	0.08	1.10	0.69	0.00	1.88
A2992	38.185075	-121.565208	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.37	1.98	3.48	1.22	16.92	4.70	20.64	123.16	0.0666	20.45	133.17	7.88	8.67	96.3	4.9	20.22	0.85	1.03	0.93	0.00	2.80
A2990	38.186208	-121.561849	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.37	1.99	3.46	1.22	16.92	4.69	20.63	122.88	0.0665	20.44	132.87	7.88	8.68	96.3	5.0	20.19	0.86	1.03	0.93	0.00	2.82
A3133	38.186741	-121.525547	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.77	2.14	4.09	0.96	18.24	5.05	19.91	124.65	0.0682	19.90	136.30	7.82	8.42	92.5	4.6	21.19	0.12	1.10	0.69	0.00	1.91
A2988	38.188073	-121.559113	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.40	2.00	3.40	1.23	16.96	4.64	20.63	122.18	0.0661	20.44	132.11	7.88	8.69	96.4	5.3	20.13	0.86	1.04	0.92	0.00	2.82
A3131	38.189537	-121.526488	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.64	2.11	3.92	0.94	18.11	4.86	19.83	123.74	0.0679	19.82	135.67	7.82	8.43	92.5	4.7	21.05	0.16	1.07	0.70	0.00	1.95
A2986	38.19015	-121.556606	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.45	1.99	3.38	1.24	17.00	4.62	20.63	121.86	0.0660	20.44	131.66	7.88	8.70	96.5	5.3	20.13	0.84	1.04	0.91	0.00	2.80
A2984	38.191783	-121.553567	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.48	1.98	3.37	1.24	17.03	4.62	20.64	121.48	0.0658	20.45	131.16	7.88	8.71	96.7	5.3	20.18	0.83	1.05	0.91	0.00	2.78
A3129	38.192043	-121.528358	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.57	2.09	3.83	0.94	18.05	4.77	19.79	123.18	0.0676	19.78	135.23	7.81	8.44	92.5	4.8	21.02	0.15	1.07	0.71	0.00	1.94
A2982	38.193763	-121.550916	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.41	1.98	3.35	1.24	16.96	4.59	20.64	121.29	0.0657	20.45	130.97	7.88	8.72	96.8	5.5	20.18	0.84	1.06	0.89	0.00	2.80
A3223	38.194625	-121.478393	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.91	3.68	4.22	1.17	18.37	5.28	20.87	114.13	0.0619	20.80	122.20	7.78	8.34	93.3	4.0	21.10	2.17	1.66	1.69	0.00	5.48
A3127	38.194922	-121.529026	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.51	2.11	3.76	0.93	18.00	4.68	19.75	122.65	0.0674	19.74	134.70	7.81	8.45	92.5	4.9	20.92	0.17	1.07	0.73	0.00	1.98
A2980	38.19557	-121.547978	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.36	2.00	3.31	1.23	16.92	4.54	20.64	121.12	0.0656	20.45	130.80	7.88	8.72	96.8	5.7	20.18	0.84	1.07	0.88	0.00	2.80
A3221	38.196812	-121.478077	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	23.23	3.32	4.20	1.17	18.66	5.24	20.62	116.64	0.0634	20.55	125.60	7.75	8.31	92.5	4.4	21.48	1.67	1.57	1.45	0.00	4.65
A3125	38.196938	-121.526473	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.47	2.14	3.68	0.90	17.95	4.58	19.71	122.04	0.0671	19.70	134.14	7.81	8.46	92.5	5.0	20.79	0.19	1.08	0.76	0.00	2.04
A2978	38.198043	-121.546193	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.38	2.02	3.26	1.23	16.93	4.48	20.64	120.98	0.0655	20.45	130.58	7.88	8.73	96.9	5.9	20.16	0.83	1.09	0.89	0.00	2.81
A3219	38.199215	-121.477073	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	23.39	2.86	4.08	1.17	18.81	5.14	20.28	119.80	0.0654	20.22	129.94	7.75	8.32	91.9	4.6	21.85	1.14	1.46	1.29	0.00	3.87
A3123	38.199161	-121.524568	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.42	2.19	3.57	0.87	17.91	4.45	19.66	121.22	0.0668	19.65	133.36	7.81	8.48	92.7	5.4	20.79	0.21	1.09	0.80	0.00	2.10
A2976	38.200385	-121.544153	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.43	2.03	3.22	1.22	16.98	4.44	20.65	120.84	0.0654	20.45	130.41	7.89	8.74	97.0	6.0	20.15	0.84	1.10	0.90	0.00	2.82
A3217	38.201341	-121.476395	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	23.06	2.58	3.97	1.17	18.50	5.08	20.11	120.87	0.0661	20.04	131.54	7.76	8.34	91.9	4.5	21.54	0.85	1.38	1.15	0.00	3.37
A2974	38.201655	-121.540846	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.55	2.03	3.22	1.20	17.10	4.42	20.66	120.63	0.0653	20.46	130.09	7.89	8.74	97.1	6.1	20.14	0.83	1.10	0.89	0.00	2.84
A3121	38.201474	-121.522319	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.40	2.19	3.54	0.86	17.89	4.40	19.65	120.93	0.0666	19.64	133.03	7.81	8.49	92.7	5.4	20.78	0.20	1.07	0.82	0.00	2.08
A3117	38.202946	-121.515678	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.38	2.22	3.54	0.84	17.87	4.38	19.64	120.55	0.0665	19.62	132.60	7.81	8.50	92.8	5.7	20.75	0.18	1.11	0.82	0.00	2.12
A3119	38.20311	-121.519375	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.38	2.19	3.51	0.84	17.87	4.35	19.64	120.63	0.0665	19.62	132.70	7.81	8.50	92.8	5.2	20.74	0.17	1.07	0.82	0.00	2.06
A3115	38.202709	-121.512273	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.39	2.23	3.55	0.85	17.87	4.40	19.64	120.50	0.0664	19.62	132.51	7.81	8.50	92.8	5.9	20.71	0.18	1.13	0.82	0.00	2.14
A3215	38.203707	-121.478486	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.69	2.34	3.83	1.19	18.16	5.00	19.95	121.63	0.0667	19.87	132.90	7.77	8.37	91.8	4.5	21.08	0.57	1.30	1.02	0.00	2.90
A2972	38.204247	-121.54064	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.51	2.03	3.24	1.19	17.06	4.43	20.66	120.51	0.0653	20.46	129.98	7.89	8.75	97.1	6.2	20.14	0.85	1.11	0.90	0.00	2.87
A3113	38.204887	-121.509733	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.40	2.24	3.52	0.86	17.89	4.37	19.64	120.38	0.0663	19.62	132.24	7.81	8.51	92.9	5.9	20.65	0.18	1.13	0.82	0.00	2.13
A3213	38.206151	-121.480254	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.31	2.30	3.71	1.20	17.81	4.91	19.90	121.53	0.0667	19.82	132.99	7.78	8.41	92.1	4.3	20.51	0.53	1.28	1.04	0.00	2.84
A2970	38.207114	-121.54121	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.38	2.05	3.23	1.16	16.94	4.39	20.67	120.20	0.0651	20.46	129.69	7.89	8.75	97.2	6.5	20.12	0.87	1.14	0.92	0.00	2.93
A3211	38.207599	-121.483211	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.24	2.31	3.63	1.15	17.73	4.77	19.89	121.40	0.0666	19.83	132.78	7.78	8.44	92.6	4.2	20.06	0.53	1.29	1.08	0.00	2.90
A3111	38.20745	-121.508345	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.38	2.24	3.47	0.84	17.87	4.31	19.64	120.19	0.0663	19.62	132.06	7.81	8.51	92.9	5.5	20.72	0.16	1.11	0.81	0.00	2.08
A3209	38.208189	-121.486738	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.28	2.25	3.61	0.97	17.78	4.57	19.90	121.64	0.0667	19.83	133.13	7.78	8.49	93.1	4.2	19.61	0.48	1.31	1.04	0.00	2.84
A2968	38.209759	-121.539941	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.33	2.07	3.20	1.12	16.89	4.32	20.67	119.99	0.0650	20.46	129.51	7.89	8.76	97.2	6.7	20.05	0.88	1.16	0.92	0.00	2.96
A3109	38.209951	-121.507013	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.36	2.25	3.45	0.82	17.85	4.27	19.65	120.09	0.0662	19.63	131.92	7.81	8.52	93.0	5.3	20.61	0.16	1.12	0.83	0.00	2.12
A3205	38.210273	-121.492821	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.25	2.18	3.63	0.74	17.75	4.37	19.94	121.62	0.0666	19.87	132.81	7.78	8.58	94.2	4.2	18.56	0.40	1.34	1.02	0.00	2.77
A2966	38.210796	-121.536318	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.34	2.10	3.17	1.14	16.89	4.31	20.67	119.89	0.0649	20.47	129.28	7.89	8.76	97.2	6.6	20.10	0.89	1.16	0.91	0.00	2.97
A3107	38.211893	-121.504459	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.34	2.25	3.45	0.78	17.83	4.24	19.70	120.17	0.0662	19.67	131.85	7.81	8.53	93.3	5.1	20.14	0.19	1.16	0.87	0.00	2.22
A3203	38.212718	-121.494603	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.28	2.14	3.63	0.73	17.77	4.36	19.96	121.33	0.0665	19.89	132.36	7.78	8.61	94.5	4.1	17.94	0.36	1.34	1.00	0.00	2.71
A2964	38.213076	-121.537264	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.36	2.11	3.13	1.12	16.92	4.25	20.67	119.43	0.0647	20.46	128.95	7.89	8.77	97.4	6.8	19.99	0.91	1.18	0.88	0.00	2.98
A3105	38.214694	-121.504958	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.34	2.24	3.45	0.80	17.83	4.24	19.71	120.07	0.0661	19.68	131.68	7.80	8.54	93.4	5.1	20.02	0.22	1.17	0.87	0.00	2.25
A3201	38.215012	-121.496718	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.31	2.14	3.62	0.75	17.80	4.36	19.98	120.82	0.0662	19.91	131.66	7.78	8.61	94.6	4.2	17.36	0.36	1.34	0.98	0.00	2.67
A2962	38.215158	-121.539689	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.38	2.09	3.16	1.04	16.93	4.19	20.67	119.16	0.0646	20.46	128.71	7.89	8.78	97.4	6.9	19.93	0.90	1.19	0.87	0.00	2.97
A2960	38.216889	-121.542559	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.30	2.10	3.18	0.90	16.86	4.07	20.67	119.08	0.0645	20.46	128.50	7.89	8.78	97.4	7.3	19.91	0.89	1.21	0.89	0.00	2.99
A3103	38.217407	-121.506208	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.30	2.23	3.40	0.93	17.80	4.33	19.70	119.68	0.0659	19.66	131.44	7.81	8.54	93.3	5.1	20.42	0.25	1.13	0.82	0.00	2.20
A3199	38.21754	-121.498721	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.34	2.18	3.57	0.84	17.83	4.42	20.03	119.45	0.0654	19.96	129.83	7.78	8.59	94.5	4.2	16.70	0.39	1.32	0.98	0.00	2.68
A2958	38.219626	-121.543372	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.27	2.14	3.17	0.88	16.83	4.05	20.66	118.64	0.0643	20.45	128.06	7.90	8.79	97.6	7.4	19.87	0.91	1.21	0.92	0.00	3.04
A3197	38.220013	-121.497885	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.36	2.24	3.54	0.92	17.85	4.48	20.05	118.83	0.0651	19.98	128.97	7.78	8.60	94.5	4.2	16.63	0.41	1.33	0.99	0.00	2.71
A3101	38.220229	-121.507089	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.29	2.25	3.40	0.96	17.78	4.36	19.72	119.65	0.0659	19.68	131.36	7.81	8.56	93.5	4.9	20.26	0.26	1.14	0.84	0.00	2.24
A3195	38.221177	-121.494692	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.49	2.38	3.53	1.13	17.97	4.66	20.12	115.63	0.0634	20.06	125.54	7.76	8.53	93.9	4.1	16.69	0.51	1.35	1.00	0.00	2.85
A2956	38.222419	-121.543905	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.26	2.19	3.15	0.89	16.82	4.07	20.64	118.50	0.0643	20.43	127.90	7.90	8.79	97.6	7.6	19.85	0.91	1.22	0.96	0.00	3.09
A2954	38.223316	-121.540685	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.30	2.20	3.16	1.00	16.86	4.17	20.62	118.26	0.0642	20.42	127.77	7.90	8.80	97.6	7.1	19.91	0.94	1.20	0.96	0.00	3.10
A3099	38.22303	-121.507236	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.29	2.32	3.40	0.99	17.79	4.40	19.74	119.93	0.0660	19.70	131.47	7.81	8.62	94.3	4.8	19.86	0.26	1.16	0.90	0.00	2.32
A3193	38.223325	-121.492216	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.48	2.50	3.45	1.10	17.96	4.54	20.16	113.05	0.0620	20.10	122.68	7.76	8.53	94.0	4.1	16.98	0.55	1.34	1.02	0.00	2.92
A2952	38.223913	-121.537126	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.23	2.18	3.13	1.06	16.79	4.19	20.64	118.22	0.0642	20.44	127.67	7.90	8.80	97.7	7.1	19.90	0.97	1.20	0.96	0.00	3.12
A3097	38.224894	-121.504169	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.31	2.39	3.41	0.96	17.81	4.40	19.80	120.39	0.0662	19.75	131.52	7.81	8.67	94.9	4.7	19.18	0.26	1.22	0.99	0.00	2.46
A2950	38.225236	-121.533995	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.20	2.22	3.11	1.08	16.77	4.20	20.65	118.08	0.0641	20.45	127.45	7.90	8.80	97.7	7.4	19.91	0.99	1.22	0.98	0.00	3.18
A3083	38.226094	-121.508561	Snodgrass Slough	Mokelumne Tidal Transition Zone	9/12/2019	22.31	2.29	3.39	0.97	17.81	4.38	19.72	119.76	0.0659	19.68	131.44	7.81	8.61	94.1	4.9	20.04	0.28	1.13	0.85	0.00	2.27
A3191	38.22611	-121.491518	South Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.36	2.46	3.34	1.05	17.85	4.35	20.23	109.33	0.0601	20.17	118.62	7.74	8.50	93.8	4.0	17.04	0.66	1.30	0.94	0.00	2.95
A2946	38.226449	-121.528329	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.29	2.37	3.11	1.05	16.85	4.17	20.60	117.86	0.0640	20.41	127.33	7.90	8.80	97.6	8.1	19.86	1.02	1.25	1.03	0.00	3.29
A3095	38.226384	-121.501507	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.47	2.74	3.43	0.93	17.96	4.39	19.88	121.36	0.0666	19.82	132.00	7.83	8.80	96.5	4.4	18.64	0.25	1.40	1.31	0.00	2.92
A2948	38.227356	-121.531588	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.23	2.33	3.11	1.07	16.80	4.18	20.61	117.89	0.0640	20.42	127.38	7.90	8.80	97.6	8.0	19.88	1.00	1.26	1.02	0.00	3.27
A3093	38.2277	-121.498435	North Mokelumne River	Mokelumne Tidal Transition Zone	9/12/2019	22.53	2.93	3.42	0.91	18.01	4.35	19.88	121.42	0.0666	19.81	132.33	7.84	8.85	97.0	4.4	19.32	0.27	1.48	1.58	0.00	3.28
A2944	38.227898	-121.526208	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.26	2.41	3.11	1.01	16.83	4.12	20.55	117.72	0.0640	20.37	127.22	7.90	8.80	97.5	8.2	19.87	1.02	1.26	1.04	0.00	3.31
A3081	38.228294	-121.511115	Snodgrass Slough	Mokelumne Tidal Transition Zone	9/12/2019	22.31	2.28	3.38	0.98	17.80	4.36	19.77	119.61	0.0658	19.72	131.16	7.82	8.63	94.5	5.0	19.79	0.35	1.13	0.85	0.00	2.33
A2942	38.229898	-121.523581	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.24	2.36	3.11	1.01	16.81	4.12	20.55	117.83	0.0640	20.38	127.20	7.90	8.80	97.5	8.1	19.92	1.04	1.26	1.04	0.00	3.33
A3079	38.230287	-121.509034	Snodgrass Slough	Mokelumne Tidal Transition Zone	9/12/2019	22.66	2.29	3.41	0.87	18.13	4.28	19.75	119.99	0.0660	19.71	131.46	7.81	8.67	94.9	4.8	19.08	0.36	1.14	0.86	0.00	2.35
A3088	38.231299	-121.495115	Deah Horse Cut	Mokelumne Tidal Transition Zone	9/12/2019	22.22	2.39	3.32	0.94	17.72	4.24	20.00	115.33	0.0634	19.93	126.05	7.79	8.69	95.4	4.1	19.48	0.64	1.32	1.14	0.00	3.16
A2940	38.23215	-121.521292	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.31	2.34	3.14	1.11	16.87	4.25	20.55	118.06	0.0641	20.39	127.48	7.90	8.79	97.5	7.8	19.94	1.05	1.26	1.05	0.00	3.35
A3077	38.232215	-121.506362	Snodgrass Slough	Mokelumne Tidal Transition Zone	9/12/2019	22.99	2.32	3.43	0.81	18.44	4.23	19.75	120.22	0.0661	19.71	131.67	7.81	8.70	95.1	4.7	18.74	0.39	1.17	0.90	0.00	2.45
A3075	38.233507	-121.503073	Snodgrass Slough	Mokelumne Tidal Transition Zone	9/12/2019	23.18	2.37	3.45	0.74	18.62	4.20	19.77	120.86	0.0664	19.73	132.24	7.81	8.75	95.7	4.6	18.78	0.45	1.22	0.99	0.00	2.64
A3086	38.234061	-121.496261	Deah Horse Cut	Mokelumne Tidal Transition Zone	9/12/2019	22.70	2.30	3.42	0.83	18.17	4.25	19.86	119.44	0.0656	19.80	130.74	7.80	8.74	95.8	4.4	19.58	0.58	1.28	1.12	0.00	2.97
A2938	38.234381	-121.51896	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.38	2.35	3.18	1.33	16.93	4.51	20.53	118.29	0.0643	20.37	127.92	7.90	8.80	97.5	7.5	19.96	1.08	1.26	1.06	0.00	3.38
A3073	38.234349	-121.499653	Snodgrass Slough	Mokelumne Tidal Transition Zone	9/12/2019	22.93	2.38	3.45	0.79	18.38	4.24	19.81	121.07	0.0665	19.75	132.51	7.81	8.77	96.0	4.5	19.47	0.49	1.29	1.17	0.00	2.92
A2936	38.236929	-121.517362	Georgiana Slough	North Delta Tidal Transition Zone	9/12/2019	21.41	2.36	3.22	1.60	16.96	4.82	20.48	118.55	0.0645	20.34	128.39	7.90	8.80	97.4	7.2	20.00	1.10	1.25	1.07	0.00	3.40
A3071	38.236817	-121.498019	Snodgrass Slough	Mokelumne Tidal Transition Zone	9/12/2019	23.04	2.26	3.46	0.73	18.49	4.20	19.81	120.44	0.0662	19.76	131.82	7.80	8.75	95.8	4.6	19.30	0.56	1.21	0.87	0.00	2.63
A535	38.23975	-121.517497	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	21.40	2.39	3.24	1.53	16.95	4.78	20.45	119.15	0.0648	20.31	129.09	7.89	8.80	97.3	7.2	20.08	1.11	1.26	1.08	0.00	3.44
A533	38.241589	-121.515585	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	21.43	2.43	3.27	1.72	16.98	4.99	20.44	119.81	0.0652	20.30	129.78	7.89	8.79	97.3	7.5	20.10	1.14	1.28	1.09	0.00	3.50
A531	38.243877	-121.513316	Sacramento River	North Delta Tidal Transition Zone	9/12/2019	21.47	2.46	3.31	1.86	17.02	5.17	20.46	120.51	0.0655	20.31	130.51	7.89	8.79	97.2	7.9	20.11	1.19	1.30	1.08	0.00	3.57
