Timestamp (PST) DS	Station Abbrev. DS	Station ID DS	Chla Rmk DS	Chla (ug/L) DS	Pheophytin Rmk DS	Pheophytin (ug/L) DS	5 micron Chla Rmk DS	5 micron Chla (ug/L) DS	5 micron Pheophytin Rmk DS	5 micron Pheophytin (ug/L) DS	NO2 Rmk DS	NO2 (mg-N/L) DS lab reported	NO2 + NO3 Rmk DS	NO2 + NO3 (mg-N/L) DS lab reported	PO4 Rmk DS	PO4 (mg-P/L) DS lab reported	TDN Rmk DS	TDN (mg-N/L) DS lab reported	NH4 Rmk DS	NH4 (mg-N/L) DS lab reported	NH4 (uM) DS	NO2 (uM) DS	NO2 + NO3 (uM) DS	PO4 (uM) DS	TDN (uM) DS	estDIN (uM) DS	estDON (uM) DS	DOC Rmk DS	DOC (mg/L) DS	Peak fDOM Rmk DS	Peak fDOM (RU) DS	UV Slope Ratio Rmk DS	UV Slope Ratio	A254 Rmk DS	A254 (AU/cm) DS	A280 Rmk DS	A280 (AU/cm) DS	A350 Rmk DS	A350 (AU/cm) DS	A370 Rmk DS	A370 (AU/cm) DS	A412 Rmk DS	A412 (AU/cm) DS	A440 Rmk DS	A440 (AU/cm) DS	A488 Rmk DS	A488 (AU/cm) DS	A510 Rmk DS	A510 (AU/cm) DS	A532 Rmk DS	A532 (AU/cm) DS	A555 Rmk DS	A555 (AU/cm) DS	A650 Rmk DS	A650 (AU/cm) DS	A676 Rmk DS	A676 (AU/cm) DS	A715 Rmk DS	A715 (AU/cm) DS	Sag 275-295 nm Rmk DS	Sag 275-295 nm DS	Sag 290-350 nm Rmk DS	Sag 290-350 nm DS	Sag 350-400 nm Rmk DS	Sag 350-400 nm DS	Sag 412-676 nm Rmk DS	Sag 412-676 nm DS	Peak A Rmk DS	Peak A (RU) DS	Peak B Rmk DS	Peak B (RU) DS	Peak C Rmk DS	Peak C (RU) DS	Peak D Rmk DS	Peak D (RU) DS	Peak M Rmk DS	Peak M (RU) DS	Peak N Rmk DS	Peak N (RU) DS	Peak T Rmk DS	Peak T (RU) DS	FI Rmk DS	FI DS	HIX Rmk DS	HIX DS	Picocyanobacteria aliquot (mL) DS	Picocyanobacteria PC-Rich Tally DS	Picocyanobacteria PC-Rich Density (cells/L) DS	Picocyanobacteria PE-Rich Tally DS	Picocyanobacteria PE-Rich Density (cells/L) DS	Picocyanobacteria Total Tally DS	Picocyanobacteria Total Density (cells/L)  DS
9/10/2019 11:25	WGA	11447890		1.37		1.30		1.1		0.8		0.008		0.110		0.072		0.47		0.24	17.13	0.57	7.85	2.32	33.55	24.99	8.57		1.9		0.150		2.6		0.050		0.0374		0.0117		0.0085	E	0.0046	E	0.0036	E	0.0022	E	0.0019	<	0.0017	<	0.0015	<	0.0007	<	0.0005	<	0.0004		0.0162		0.0168		0.0158		0.0078		0.3725		0.0737		0.220		0.0846		0.2102		0.1511		0.1243		1.589		0.8218	5	18	2412744	313	41954937	331	44367681
9/10/2019 11:30	WGA 	11447890										0.009		0.123		0.053		0.50		0.24	17.13	0.64	8.78	1.71	35.70	25.91	9.78																																																																	
9/10/2019 12:40	TIB	380932121351101		1.33		0.825		1.0		0.6		0.006		0.115		0.049		0.37		0.17	12.14	0.43	8.21	1.58	26.41	20.35	6.07		1.9		0.157		2.6		0.049		0.0363		0.0110		0.0080	E	0.0043	E	0.0035	E	0.0022	E	0.0020	<	0.0017	<	0.0015	<	0.0008	<	0.0005	<	0.0001		0.0167		0.0173		0.0158		0.0071		0.3838		0.0398		0.229		0.0859		0.2134		0.1508		0.1080		1.604	<	0.8492	5	33	2948909	273	24395523	306	27344432
9/10/2019 13:47	GAM	380749121344701										0.007		0.117		0.049		0.40		0.17	12.14	0.50	8.35	1.58	28.56	20.49	8.07																																																																	
9/10/2019 14:12	MOK	11336930										0.014		0.169		0.046		0.36		0.10	7.14	1.00	12.06	1.48	25.70	19.20	6.50																																																																	
9/10/2019 14:50	SMS	380831121301301		1.38		0.978		0.6		0.3		0.013		0.142		0.041		0.32		0.06	4.28	0.93	10.14	1.32	22.84	14.42	8.42		2.1		0.174		2.6		0.055		0.0414		0.0127		0.0093	E	0.0051	E	0.0041	E	0.0025	E	0.0022	E	0.0020	<	0.0017	<	0.0008	E	0.0006	<	0.0003		0.0153		0.0176		0.0155		0.0076		0.4339		0.0472		0.252		0.0977		0.2362		0.1594		0.1096		1.568	<	0.8687	5	233	46847446	77	15481774	310	62329220
9/10/2019 15:50	NFM	11336685		1.31		1.11		1.1		0.7		0.011		0.128		0.046		0.40		0.14	9.99	0.79	9.14	1.48	28.56	19.13	9.42		1.9		0.159		2.6		0.050		0.0373		0.0116		0.0085	E	0.0046	E	0.0037	E	0.0023	E	0.0021	<	0.0018	<	0.0016	<	0.0008	E	0.0005	<	0.0002		0.0167		0.0168		0.0156		0.0074		0.3843		0.0587		0.235		0.088		0.2099		0.1409		0.1056		1.594	<	0.8591	5	39	4900886	264	33175230	303	38076116
9/10/2019 16:20	NMR	380837121333401		1.64		0.691		1.3		0.4		0.014		0.154		0.053		0.47		0.18	12.85	1.00	10.99	1.71	33.55	23.84	9.71		1.9		0.157		2.7		0.051		0.0375		0.0115		0.0084	E	0.0045	E	0.0037	E	0.0023	E	0.0020	<	0.0018	<	0.0015	<	0.0007	<	0.0005	<	0.0002		0.0167		0.017		0.0158		0.0074		0.3779		0.0470		0.233		0.0881		0.2116		0.1446		0.1048		1.627	<	0.8652	5	70	5629736	204	16406659	274	22036395
9/11/2019 8:37	GAM	380749121344701										0.012		0.141		0.054		0.45		0.21	14.99	0.86	10.07	1.74	32.13	25.06	7.07																																																																	
9/11/2019 9:55	NFM	11336685		1.44		1.19		1.1		0.7	<	0.001		0.061		0.032		0.14		0.01	0.71	0.04	4.35	1.03	9.99	5.07	4.93		1.8		0.143		2.7		0.048		0.0358		0.0114		0.0084	E	0.0047	E	0.0038	E	0.0023	E	0.0021	E	0.0018	E	0.0017	<	0.0010	<	0.0007	E	0.0004		0.0165		0.0164		0.0150		0.0072		0.3519		0.0953		0.206		0.0815		0.1936		0.1332		0.0834		1.513		0.8488	5	11	1923202	295	51576774	306	53499976
9/11/2019 10:55	MOK AB CFL	381346121292701		1.63		1.06		1.0		0.8	<	0.001	<	0.040		0.019		0.09	<	0.01	0.36	0.04	1.43	0.61	6.43	1.78	4.64		1.8		0.110		2.3		0.043		0.0314		0.0098		0.0072	E	0.0042	E	0.0036	E	0.0023	E	0.0021	E	0.0020	E	0.0017	<	0.0010	E	0.0008	E	0.0003		0.0174		0.0167		0.0146		0.0060		0.2639		0.0619		0.161		0.0606		0.1361		0.1048		0.0745		1.472		0.8352	5	301	60519662	15	3015930	316	63535592
9/11/2019 11:30	NEW HOPE	11336680		2.04		1.44		1.4		0.9	<	0.001	<	0.040		0.020		0.10	<	0.01	0.36	0.04	1.43	0.65	7.14	1.78	5.35		1.7		0.117		2.6		0.044		0.0327		0.0104		0.0077	E	0.0045	E	0.0039	E	0.0024	E	0.0022	E	0.0020	E	0.0018	E	0.0011	E	0.0008	E	0.0004		0.0173		0.0164		0.0142		0.0063		0.2881		0.1007		0.171		0.0706		0.1623		0.1153		0.0871		1.536		0.8279	5	290	37618052	27	3502370	317	41120422
9/11/2019 12:20	SMS	380831121301301		1.86		1.27		0.9		0.5		0.012				0.039		0.29		0.06	4.28	0.86		1.26	20.70	4.28	16.42		2.0		0.174		2.6		0.053		0.0394		0.0124		0.0091	E	0.0051	E	0.0042	E	0.0025	E	0.0023	E	0.0020	E	0.0018	<	0.0011	E	0.0008	E	0.0004		0.0166		0.0167		0.0149		0.0071		0.4358		0.0415		0.251		0.0994		0.2308		0.1635		0.1012		1.557		0.8734	5	271	83827388	47	14538329	318	98365717
9/11/2019 12:34	LPSB	11336800										0.016		0.166		0.048		0.33		0.07	5.00	1.14	11.85	1.55	23.56	16.85	6.71																																																																	
9/11/2019 13:04	NMR	380837121333401		1.14		0.720		1.1		0.4		0.012		0.143		0.047		0.34		0.10	7.14	0.86	10.21	1.52	24.27	17.35	6.92		1.9		0.149		2.6		0.049		0.0360		0.0112		0.0083	E	0.0046	E	0.0037	E	0.0023	E	0.0020	E	0.0018	E	0.0016	<	0.0010	<	0.0007	<	0.0002		0.0168		0.0169		0.0151		0.0070		0.3725		0.0815		0.216		0.0846		0.2033		0.1398		0.0940		1.539		0.8545	5	42	3377842	203	16326234	245	19704076
9/11/2019 14:35	TIB	380932121351101		1.41		0.677		1.2		0.4	<	0.001		0.058		0.033		0.15		0.01	0.71	0.04	4.14	1.07	10.71	4.85	5.85		1.8		0.140		2.7		0.049		0.0361		0.0112		0.0083	E	0.0046	E	0.0038	E	0.0024	E	0.0021	E	0.0019	E	0.0017	<	0.0010	<	0.0007	<	0.0001		0.0158		0.0175		0.0148		0.0068		0.3571		0.0488		0.207		0.0788		0.1970		0.1398		0.0998		1.558		0.8596	5	79	10589265	233	31231631	312	41820896
9/11/2019 15:18	GAS	11447903									<	0.001		0.055		0.030		0.14	<	0.01	0.36	0.04	3.93	0.97	9.99	4.28	5.71																																																																	
9/12/2019 7:50	GAM	380749121344701									<	0.001		0.057		0.033		0.14		0.01	0.71	0.04	4.07	1.07	9.99	4.78	5.21																																																																	
9/12/2019 8:45	NFM	11336685		1.22		1.26		1.1		0.6	<	0.001		0.050		0.029		0.13	<	0.01	0.36	0.04	3.57	0.94	9.28	3.93	5.35		1.8		0.137		2.7		0.049		0.0365		0.0118		0.0089	E	0.0047	E	0.0036	E	0.0020	<	0.0018	<	0.0015	<	0.0013	<	0.0007	<	0.0005	<	0.0001		0.0163		0.0164		0.0146		0.0087		0.3557		0.0690		0.202		0.0799		0.1940		0.1282		0.0972		1.601		0.8477	5	22	2527637	278	31940135	300	34467771
9/12/2019 9:10	MOK AB CFL	381346121292701									<	0.001	<	0.040		0.023		0.11	<	0.01	0.36	0.04	1.43	0.74	7.85	1.78	6.07																																																																	
9/12/2019 9:20	NEW HOPE	11336680		1.71		1.33		0.9		0.5	<	0.001		0.054		0.028		0.12	<	0.01	0.36	0.04	3.86	0.90	8.57	4.21	4.35		1.8		0.137		2.7		0.048		0.0358		0.0115		0.0086	E	0.0047	E	0.0037	E	0.0021	<	0.0019	<	0.0016	<	0.0014	<	0.0008	<	0.0006	<	0.0001		0.0162		0.0164		0.0146		0.0082		0.3431		0.0305		0.198		0.0784		0.1947		0.1356		0.0935		1.541		0.8503	5	48	4488826	271	25343164	319	29831990
9/12/2019 10:40	SMS	380831121301301		2.09		1.43		0.7		0.6		0.007				0.035		0.22		0.06	4.28	0.50		1.13	15.71	4.28	11.42		2.0		0.179		2.7		0.055		0.0411		0.0133		0.0100	E	0.0053	E	0.0041	E	0.0024	<	0.0020	<	0.0018	<	0.0016	<	0.0009	<	0.0006	<	0.0001		0.0163		0.0163		0.0148		0.0083		0.4501		0.0479		0.259		0.1022		0.2429		0.1562		0.1132		1.583	<	0.8652	5	278	58837091	49	10370566	327	69207657
9/12/2019 11:05	LPSB	11336800										0.014		0.164		0.047		0.32		0.05	3.57	1.00	11.71	1.52	22.84	15.28	7.57																																																																	
9/12/2019 11:30	NMR	380837121333401		1.04		0.874		0.8		0.5	<	0.001		0.062		0.033		0.16		0.01	0.71	0.04	4.43	1.07	11.42	5.14	6.28		1.8		0.138		2.6		0.048		0.0357		0.0114		0.0085	E	0.0046	E	0.0037	E	0.0022	<	0.0019	<	0.0016	<	0.0014	<	0.0008	<	0.0006	<	0.0000		0.0164		0.0165		0.0150		0.0079		0.3627		0.0383		0.206		0.0799		0.1989		0.1299		0.1041		1.560	E	0.8552	5	27	2171470	275	22116820	302	24288290
9/12/2019 11:31	NMR 	380837121333401		1.72		0.984		0.9		0.5	<	0.001		0.058		0.033		0.15		0.01	0.71	0.04	4.14	1.07	10.71	4.85	5.85		1.8		0.140		2.6		0.048		0.0355		0.0114		0.0086	E	0.0048	E	0.0039	E	0.0024	E	0.0021	<	0.0019	<	0.0016	<	0.0009	<	0.0007	<	0.0000		0.0163		0.0164		0.0142		0.0072		0.3536		0.0623		0.204		0.0789		0.1985		0.1387		0.1080		1.540	<	0.8479	5	22	1805455	295	24209506	317	26014961
9/12/2019 12:50	TIB	380932121351101		1.26		0.827		1.0		0.4	<	0.001		0.051		0.031		0.14	<	0.01	0.36	0.04	3.64	1.00	9.99	4.00	6.00		1.8		0.134		2.7		0.049		0.0365		0.0119		0.0090	E	0.0050	E	0.0041	E	0.0025	E	0.0022	<	0.0020	<	0.0017	<	0.0009	<	0.0007	<	0.0000		0.0163		0.0161		0.0143		0.0074		0.3522		0.0831		0.197		0.0778		0.1939		0.1302		0.0967		1.542		0.8415	5	21	2111151	295	29656645	316	31767796
9/12/2019 13:40	WGA	11447890		1.56		1.57		1.4		1.4	<	0.001		0.055		0.030		0.14	<	0.01	0.36	0.04	3.93	0.97	9.99	4.28	5.71		1.8		0.137		2.6		0.048		0.0360		0.0115		0.0087	E	0.0049	E	0.0042	E	0.0025	E	0.0023	<	0.0020	<	0.0018	<	0.0010	<	0.0008	<	0.0001		0.0163		0.0165		0.0141		0.0066		0.3571		0.0670		0.201		0.0805		0.1998		0.1292		0.1017		1.586		0.8519	5	18	1608496	285	25467853	303	27076349
9/12/2019 13:41	WGA 	11447890									<	0.001		0.051		0.030		0.13	<	0.01	0.36	0.04	3.64	0.97	9.28	4.00	5.28																																																																	
9/12/2019 14:15	HOOD	382205121311300										0.028		0.137		0.064		0.62		0.33	23.56	2.00	9.78	2.07	44.26	33.34	10.92																																																																	
9/12/2019 14:16	HOOD 	382205121311300										0.029		0.134		0.064		0.61		0.32	22.84	2.07	9.57	2.07	43.55	32.41	11.14																																																																	
9/12/2019 14:45	FPT	11447650		2.06		1.39		1.7		0.9	<	0.001		0.041		0.026		0.12	<	0.01	0.36	0.04	2.93	0.84	8.57	3.28	5.28		1.8		0.143		2.6		0.046		0.0341		0.011		0.0083	E	0.0048	E	0.0043	E	0.0025	E	0.0023	<	0.0021	<	0.0019	<	0.0011	<	0.0008	<	0.0000		0.0164		0.0163		0.0140		0.0063		0.3520		0.0189		0.210		0.0806		0.1919		0.1246		0.0855		1.611	<	0.8694	5	26	4021240	282	43614988	308	47636228
9/12/2019 14:46	FPT 	11447650									<	0.001		0.041		0.027		0.13	<	0.01	0.36	0.04	2.93	0.87	9.28	3.28	6.00																																																																	
