Timestamp (PST) DS	Station Abbrev. DS	"NWIS Station Latitude (Decimal Degrees, NAD83)"	"NWIS Station Longitude (Decimal Degrees, NAD83)"	Division DS	Genus DS	Species DS	Tally DS	Density (cells/L) DS	Biovolume (um3/L) DS	Notes DS
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Thalassiosira	cf. Thalassiosira spp.	9	77	3023.88	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Cryptophyta	Plagioselmis	Plagioselmis prolonga	2	17	3153.79	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Chlorophyta	Drepanochloris	Drepanochloris nannoselene	10	86	1169.77	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Cyanobacteria	Eucapsis	Eucapsis microscopica	42	359	96.33	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Gomphonema	Gomphonema sp.	1	9	3695.85	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Cryptophyta	Cryptomonas	Cryptomonas sp.	2	17	18429.97	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Cyanobacteria	Planktothrix	cf. Planktothrix sp.	16	6	135.72	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Diploneis	Diploneis sp.	1	9	4233.43	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Chlorophyta	Chlorella	cf. Chlorella sp.	1	9	35.84	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Chlorophyta	Dictyosphaerium	Dictyosphaerium sp.	4	29	410.76	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Thalassiosira	cf. Thalassiosira spp.	5	43	1679.93	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Encyonema	Encyonema silesiacum	2	17	5704.63	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Ochrophyta	Pseudokephyrion	Pseudokephyrion spp.	2	17	1791.93	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Euglenophyta	Phacus	Phacus sp.	1	7	7564.79	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Chlorophyta	Eudorina	Eudorina sp.	29	248	285422.66	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Bacillariophyta	Cocconeis	Cocconeis sp.	3	26	12639.81	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Chlorophyta	Chlamydomonas	Chlamydomonas sp.	1	9	120.96	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Bacillariophyta	Nitzschia	Nitzschia sp.	8	68	2190.29	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Ochrophyta	Chrysococcus	Chrysococcus sp.	1	9	671.97	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Cyclotella	Cyclotella spp.	3	26	3870.56	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Planothidium	Planothidium sp.	1	7	4335.78	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Cryptophyta	Plagioselmis	Plagioselmis prolonga	4	34	3225.47	Cannot meet tally in 50 fields.
9/10/2019 14:50	SMS	38.14196111	-121.5036889	Chlorophyta	Eudorina	cf. Eudorina sp.	32	232	333961.38	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Bacillariophyta	Nitzschia	Nitzschia inconspicua	2	17	205.34	Cannot meet tally in 50 fields.
9/11/2019 12:20	SMS	38.14196111	-121.5036889	Chlorophyta	Scenedesmus	Scenedesmus sp.	2	17	215.03	Cannot meet tally in 50 fields.
9/12/2019 10:40	SMS	38.14196111	-121.5036889	Bacillariophyta	Rhoicosphenia	Rhoicosphenia sp.	1	7	795.21	Cannot meet tally in 50 fields.
