CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Regions	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	Orthophosphate (uM) SA
A873	38.056386	-121.958206	Suisun Bay	Honker Bay	7/1/2021	10.87	6.04	20.82	14306.59	7.97	8.27	97.02	14.50	2.88	29.71	4.74	32.66	20.79	13491.38	8.54	2.75	4.86	2.02	9.63	28.52	50.50	20.99	16.91	2.52	2.86
A994	38.060386	-122.111663	Suisun Bay	Suisun Bay	7/1/2021	17.63	3.84	19.70	25862.84	7.96	7.97	95.62	31.70	2.87	27.49	4.54	32.79	19.69	23710.77	16.19	2.27	4.84	2.46	9.57	22.57	50.97	25.64	21.47	2.38	3.24
A4947	38.063989	-121.596593	Central Delta tidal zone	False River	7/1/2021	3.45	0.26	25.18	596.07	9.37	11.72	142.46	7.86	5.39	30.48	8.38	31.18	25.21	609.54	0.29	7.41	46.97	0.11	54.51	13.80	85.87	0.28	3.71	2.57	2.36
A780	38.060066	-121.811589	Western Delta tidal zone	Sacramento River	7/1/2021	7.31	1.14	21.91	5906.48	8.06	8.35	97.15	14.87	2.06	26.94	3.44	29.54	21.90	5676.10	3.29	2.74	5.48	1.24	9.48	29.00	57.83	13.11	8.60	2.35	2.65
A770	38.060876	-121.793972	Western Delta tidal zone	Sacramento River	7/1/2021	7.46	1.12	22.24	4213.51	8.07	8.31	96.67	12.55	1.85	25.44	3.33	27.67	22.21	4085.77	2.30	2.74	5.47	0.92	9.15	29.94	59.88	8.43	8.62	2.26	2.63
A879	38.056798	-121.969443	Suisun Bay	Suisun Bay	7/1/2021	11.24	5.75	20.67	14985.33	7.96	8.36	98.05	12.39	3.16	29.79	5.23	32.72	20.66	14098.67	8.99	2.70	4.64	2.63	9.97	27.12	46.55	26.36	16.98	2.52	2.82
A882	38.056875	-121.974910	Suisun Bay	Suisun Bay	7/1/2021	11.29	6.18	20.65	14956.24	7.96	8.39	98.32	9.01	3.09	30.02	5.32	32.66	20.62	14172.64	9.05	2.62	4.52	2.63	9.79	26.78	46.28	26.74	17.47	2.54	2.85
A4368	38.065119	-121.500260	Central Delta tidal zone	Little Connection Slough	7/1/2021	9.77	1.07	25.32	258.71	7.70	7.47	90.99	2.49	3.08	38.43	5.40	38.85	25.31	277.31	0.14	5.44	6.60	0.64	12.65	43.25	51.94	4.98	9.60	3.05	2.28
A811	38.062928	-121.855291	Western Delta tidal zone	Sacramento River	7/1/2021	7.58	2.16	21.36	8138.42	7.98	8.14	94.35	16.00	2.69	28.96	4.52	31.85	21.34	7742.29	4.64	3.02	5.31	1.61	9.91	30.37	45.29	16.24	9.74	2.47	2.61
A782	38.061379	-121.814857	Western Delta tidal zone	Sacramento River	7/1/2021	7.26	1.19	21.82	6151.07	8.05	8.33	96.85	13.82	2.01	27.29	3.40	29.79	21.80	5921.48	3.45	2.71	5.36	1.15	9.20	28.53	58.24	12.45	8.58	2.37	2.66
A768	38.062046	-121.790596	Western Delta tidal zone	Sacramento River	7/1/2021	7.48	1.18	22.26	4107.72	8.08	8.31	96.69	12.44	1.81	25.33	3.28	27.52	22.24	3992.92	2.24	2.70	5.49	0.90	9.10	29.69	60.41	9.61	8.67	2.25	2.63
A3505	38.065887	-121.678863	Central Delta tidal zone	San Joaquin River	7/1/2021	4.84	0.24	22.88	1924.23	8.14	8.08	94.56	10.52	3.00	27.83	5.45	29.67	22.79	1925.03	1.02	2.70	8.51	1.69	12.92	20.94	65.67	11.78	5.18	2.41	2.44
A893	38.060284	-121.994899	Suisun Bay	Suisun Bay	7/1/2021	12.65	1.85	20.61	17393.85	7.95	8.26	97.60	13.64	2.71	29.59	4.67	32.99	20.57	16337.02	10.57	2.40	4.50	2.24	9.13	26.32	49.38	24.53	14.49	2.50	2.95
A784	38.062518	-121.818257	Western Delta tidal zone	Sacramento River	7/1/2021	7.33	1.24	21.64	6424.74	8.03	8.30	96.22	13.09	1.99	27.71	3.45	30.18	21.62	6151.49	3.60	2.71	5.29	1.02	9.00	25.45	58.78	11.30	8.61	2.40	2.66
A996	38.062468	-122.109006	Suisun Bay	Suisun Bay	7/1/2021	17.40	3.70	19.74	25279.11	7.97	8.03	96.21	31.26	3.09	27.97	4.88	33.16	19.72	23156.05	15.77	2.36	4.85	2.79	10.01	22.53	48.87	27.70	21.10	2.41	3.24
A4887	38.066764	-121.648350	Central Delta tidal zone	Fishermans Cut	7/1/2021	4.22	0.35	24.70	666.89	8.64	9.35	112.73	11.16	4.49	28.77	7.28	29.62	24.75	669.60	0.33	4.79	18.55	1.77	25.11	18.70	73.83	7.12	4.51	2.46	2.35
A766	38.064143	-121.787903	Western Delta tidal zone	Sacramento River	7/1/2021	7.48	1.29	22.26	3971.13	8.07	8.31	96.66	12.35	1.77	25.18	3.25	27.40	22.24	3861.82	2.16	2.62	5.52	0.90	9.02	29.07	61.20	9.93	8.77	2.24	2.62
A3667	38.061671	-121.532198	Central Delta tidal zone	San Joaquin River	7/1/2021	9.95	0.54	24.96	498.68	8.02	7.87	95.24	5.79	3.88	38.01	6.85	39.78	24.91	512.79	0.25	5.44	13.90	1.14	20.51	26.60	67.66	5.55	10.49	3.03	2.85
A3645	38.066198	-121.555924	Central Delta tidal zone	San Joaquin River	7/1/2021	7.86	0.58	24.47	542.82	8.20	8.04	96.45	7.09	3.57	32.26	6.50	34.04	24.42	552.83	0.27	5.12	15.94	1.02	22.08	23.23	72.27	4.60	8.43	2.68	2.27
A786	38.064230	-121.821376	Western Delta tidal zone	Sacramento River	7/1/2021	7.39	1.25	21.53	6586.40	8.03	8.29	95.88	12.56	2.00	27.95	3.47	30.38	21.52	6286.07	3.70	2.74	5.28	0.95	8.96	26.64	58.87	10.59	8.66	2.41	2.66
A4366	38.067857	-121.501257	Central Delta tidal zone	Little Connection Slough	7/1/2021	9.44	1.19	25.28	229.40	7.68	7.34	89.28	2.38	2.76	36.68	4.94	37.02	25.30	245.83	0.12	5.12	5.74	0.44	11.29	45.40	50.81	3.81	9.51	2.94	2.02
A934	38.062112	-122.044198	Suisun Bay	Suisun Bay	7/1/2021	13.92	4.12	20.32	20078.58	7.96	8.23	97.75	16.33	3.12	29.50	5.19	33.54	20.28	18847.38	12.43	2.29	4.51	2.59	9.37	24.50	48.23	21.47	18.04	2.51	3.14
A764	38.065759	-121.784829	Western Delta tidal zone	Sacramento River	7/1/2021	7.51	1.35	22.28	3882.62	8.08	8.31	96.64	12.41	1.74	25.05	3.22	27.29	22.25	3774.19	2.11	2.62	5.56	0.85	9.01	29.11	61.68	9.44	8.86	2.23	2.62
A3662	38.064749	-121.540229	Central Delta tidal zone	San Joaquin River	7/1/2021	9.09	0.57	24.70	520.40	8.09	7.89	95.05	6.92	3.81	35.38	6.97	37.01	24.61	534.12	0.26	5.48	15.50	1.13	22.12	24.82	70.12	5.11	9.67	2.87	2.62
A998	38.064639	-122.106531	Suisun Bay	Suisun Bay	7/1/2021	17.04	3.56	19.81	24434.12	7.98	8.11	96.97	30.91	3.40	28.68	5.35	33.80	19.79	22376.84	15.16	2.47	4.86	3.13	10.47	22.90	46.67	29.81	20.59	2.46	3.24
A788	38.065077	-121.824942	Western Delta tidal zone	Sacramento River	7/1/2021	7.40	1.27	21.45	6782.06	8.02	8.27	95.70	11.30	1.98	28.25	3.47	30.55	21.43	6489.49	3.84	2.74	5.24	0.91	8.91	28.47	58.87	10.21	8.69	2.43	2.65
A3503	38.068811	-121.678891	Central Delta tidal zone	San Joaquin River	7/1/2021	5.03	0.25	22.90	1866.65	8.14	8.07	94.45	10.51	2.99	27.65	5.40	29.48	22.82	1859.97	0.98	2.72	8.70	1.67	13.10	20.76	66.20	11.35	5.34	2.40	2.43
A790	38.066191	-121.828414	Western Delta tidal zone	Sacramento River	7/1/2021	7.27	1.27	21.44	6860.29	8.02	8.28	95.83	9.92	2.03	28.38	3.56	30.53	21.42	6570.51	3.89	2.80	5.22	0.97	9.00	31.05	58.07	10.80	8.54	2.44	2.65
A4885	38.069677	-121.648376	Central Delta tidal zone	Fishermans Cut	7/1/2021	4.49	0.34	24.73	638.94	8.57	9.13	110.06	11.07	4.46	28.51	7.26	29.37	24.78	646.08	0.32	4.74	18.24	1.82	24.79	18.86	73.53	7.38	4.75	2.45	2.35
A762	38.066821	-121.781462	Western Delta tidal zone	Sacramento River	7/1/2021	7.47	1.81	22.27	3762.01	8.07	8.29	96.45	12.62	1.76	24.95	3.23	27.20	22.25	3656.81	2.04	2.64	5.65	0.81	9.08	29.13	62.18	8.87	9.26	2.23	2.61
A923	38.064425	-122.024270	Suisun Bay	Suisun Bay	7/1/2021	13.37	2.73	20.33	18827.44	7.97	8.25	97.53	13.53	3.01	29.87	5.09	33.26	20.30	17520.39	11.47	2.40	4.53	2.55	9.48	25.38	48.03	27.03	16.10	2.52	3.01
A3643	38.068857	-121.557706	Central Delta tidal zone	San Joaquin River	7/1/2021	7.87	0.62	24.48	543.25	8.21	8.05	96.68	7.25	3.56	32.23	6.46	33.96	24.43	553.07	0.27	5.19	16.01	1.01	22.21	23.41	72.07	4.54	8.50	2.67	2.21
A4364	38.070559	-121.502117	Central Delta tidal zone	Little Connection Slough	7/1/2021	8.96	1.25	25.23	218.59	7.67	7.29	88.59	2.40	2.58	35.23	4.69	35.54	25.26	233.43	0.11	4.91	5.42	0.35	10.68	46.12	50.75	3.11	9.50	2.86	1.90
A1000	38.066709	-122.103834	Suisun Bay	Suisun Bay	7/1/2021	16.56	3.29	19.94	23505.73	7.98	8.14	97.21	38.14	3.87	29.31	6.00	35.03	19.91	21748.68	14.65	2.54	4.96	3.40	10.90	22.76	44.98	31.20	19.85	2.49	3.24
A3501	38.071688	-121.679491	Central Delta tidal zone	San Joaquin River	7/1/2021	5.17	0.27	22.90	1858.76	8.13	8.07	94.43	9.90	2.95	27.52	5.33	29.27	22.83	1833.32	0.96	2.72	9.05	1.66	13.44	20.29	67.15	11.09	5.47	2.39	2.41
A760	38.068521	-121.778514	Western Delta tidal zone	Sacramento River	7/1/2021	7.50	1.94	22.28	3658.39	8.07	8.28	96.34	12.92	1.74	24.82	3.19	27.09	22.26	3553.40	1.98	2.67	5.68	0.74	9.08	29.40	62.57	8.13	9.40	2.22	2.60
A4385	38.071409	-121.574613	Central Delta tidal zone	Old River	7/1/2021	6.40	0.79	24.55	604.86	8.45	8.45	101.61	7.87	4.53	31.27	7.67	33.15	24.52	615.15	0.30	5.98	23.75	1.60	31.40	19.50	73.90	6.16	7.15	2.61	2.33
A792	38.067387	-121.832176	Western Delta tidal zone	Sacramento River	7/1/2021	7.13	1.29	21.45	6854.39	8.02	8.29	95.94	9.66	2.09	28.38	3.66	30.49	21.43	6576.53	3.90	2.84	5.24	1.03	9.10	31.18	57.57	11.26	8.43	2.44	2.64
A4883	38.072584	-121.647871	Central Delta tidal zone	Fishermans Cut	7/1/2021	4.74	0.29	24.72	615.29	8.49	8.93	107.69	10.37	4.37	28.35	7.17	29.18	24.77	624.80	0.30	4.64	17.76	1.81	24.20	18.79	73.28	7.57	4.92	2.44	2.34
A1002	38.068781	-122.101107	Suisun Bay	Suisun Bay	7/1/2021	16.49	3.04	19.96	23304.43	7.97	8.11	96.81	44.17	4.14	29.14	6.28	35.48	19.93	21650.24	14.57	2.56	5.04	3.49	11.07	22.79	44.68	31.52	19.53	2.48	3.24
A803	38.067461	-121.853151	Western Delta tidal zone	Sacramento River	7/1/2021	7.48	2.14	21.30	7865.64	8.00	8.22	95.09	12.10	2.66	28.94	4.50	31.40	21.29	7457.74	4.46	3.16	5.24	1.68	10.06	31.37	36.27	16.74	9.62	2.47	2.61
A1181	38.070291	-121.967385	Suisun Bay	Suisun Bay	7/1/2021	12.45	0.62	20.70	17152.80	7.99	8.19	96.97	18.96	2.65	29.39	4.19	32.85	20.69	16132.91	10.40	2.83	5.10	1.51	9.43	29.99	54.08	15.96	13.09	2.50	2.94
A3641	38.071264	-121.559836	Central Delta tidal zone	San Joaquin River	7/1/2021	7.86	0.66	24.49	544.67	8.22	8.07	96.88	7.36	3.61	32.05	6.49	33.80	24.43	553.94	0.27	5.26	16.22	1.04	22.53	23.40	71.99	4.62	8.56	2.66	2.19
A758	38.070391	-121.775649	Western Delta tidal zone	Sacramento River	7/1/2021	7.53	1.71	22.29	3484.15	8.07	8.27	96.16	13.11	1.72	24.63	3.13	26.87	22.27	3384.13	1.88	2.64	5.72	0.71	9.06	29.11	63.10	7.76	9.13	2.21	2.60
A4214	38.073632	-121.501939	Central Delta tidal zone	Little Potato Slough	7/1/2021	8.54	1.30	25.18	209.20	7.67	7.25	88.01	2.45	2.41	33.95	4.44	34.07	25.21	222.32	0.11	4.72	5.11	0.26	10.10	46.83	50.67	2.49	9.51	2.78	1.80
A4218	38.073838	-121.506286	Central Delta tidal zone	Little Potato Slough	7/1/2021	8.07	1.29	25.12	203.33	7.68	7.22	87.62	2.66	2.23	32.32	4.20	32.57	25.15	213.29	0.11	4.52	5.03	0.17	9.74	46.91	51.30	1.67	9.59	2.68	1.70
A801	38.068358	-121.849983	Western Delta tidal zone	Sacramento River	7/1/2021	7.25	1.93	21.38	7321.76	8.02	8.32	96.25	9.98	2.63	28.68	4.41	30.76	21.36	6942.15	4.13	3.16	5.35	1.77	10.27	30.68	38.00	17.28	9.18	2.46	2.62
A903	38.066003	-122.013091	Suisun Bay	Suisun Bay	7/1/2021	12.59	2.26	20.48	17371.81	7.97	8.42	99.22	11.37	3.01	29.71	5.24	32.92	20.45	16459.51	10.68	2.47	4.48	2.47	9.49	26.31	47.21	26.37	14.85	2.52	2.99
A905	38.066291	-122.016828	Suisun Bay	Suisun Bay	7/1/2021	12.94	1.76	20.43	18081.68	7.97	8.35	98.65	12.66	3.00	29.80	5.20	33.10	20.39	17059.67	11.12	2.38	4.50	2.51	9.37	25.43	48.12	27.41	14.70	2.52	2.99
A794	38.068506	-121.836060	Western Delta tidal zone	Sacramento River	7/1/2021	6.97	1.39	21.44	6787.50	8.03	8.32	96.20	9.40	2.32	28.31	4.04	30.37	21.42	6508.50	3.85	2.97	5.29	1.24	9.49	31.37	55.74	13.04	8.35	2.43	2.64
A3499	38.074572	-121.680018	Central Delta tidal zone	San Joaquin River	7/1/2021	5.40	0.44	22.89	1879.03	8.13	8.08	94.50	8.74	2.83	27.34	5.17	28.95	22.84	1846.39	0.98	2.68	9.34	1.62	13.62	19.68	68.45	11.83	5.86	2.38	2.38
A756	38.071950	-121.772574	Western Delta tidal zone	Sacramento River	7/1/2021	7.55	1.27	22.32	3368.13	8.07	8.26	96.04	13.27	1.69	24.47	3.07	26.69	22.30	3271.17	1.81	2.59	5.78	0.70	9.08	28.59	63.65	7.74	8.70	2.20	2.59
A1004	38.070780	-122.098220	Suisun Bay	Suisun Bay	7/1/2021	16.54	2.78	19.97	23242.16	7.97	8.08	96.47	49.32	4.38	28.84	6.49	35.65	19.94	21594.14	14.53	2.58	5.10	3.61	11.28	22.76	44.46	32.01	19.32	2.47	3.24
A3639	38.072233	-121.563446	Central Delta tidal zone	San Joaquin River	7/1/2021	7.82	0.72	24.48	557.19	8.22	8.11	97.29	7.55	3.86	31.59	6.86	33.36	24.43	566.60	0.28	5.31	16.52	1.29	23.11	22.97	71.50	5.54	8.52	2.64	2.21
A798	38.069708	-121.844623	Western Delta tidal zone	Sacramento River	7/1/2021	7.11	1.72	21.47	6927.77	8.04	8.36	96.77	9.74	2.58	28.36	4.33	30.38	21.44	6610.74	3.91	3.16	5.38	1.68	10.22	30.70	47.74	16.55	8.84	2.44	2.62
A4881	38.075466	-121.647660	Central Delta tidal zone	Fishermans Cut	7/1/2021	4.77	0.32	24.70	612.68	8.46	8.84	106.52	9.83	4.33	28.33	7.15	29.15	24.75	622.61	0.30	4.61	17.58	1.81	23.99	18.99	73.19	7.62	5.01	2.44	2.33
A938	38.066535	-122.051051	Suisun Bay	Suisun Bay	7/1/2021	14.62	2.91	20.25	20981.07	7.95	8.13	96.71	24.06	3.05	29.38	5.12	33.76	20.21	19712.17	13.07	2.17	4.62	2.46	9.23	17.35	50.03	26.89	17.53	2.50	3.20
A1190	38.070244	-121.950799	Suisun Bay	Honker Bay	7/1/2021	11.79	1.71	20.58	16321.11	8.03	8.35	98.19	13.16	2.36	29.76	3.82	32.57	20.56	15374.60	9.90	2.94	5.02	1.17	9.15	32.18	54.93	12.81	13.26	2.52	2.93
A901	38.065599	-122.009376	Suisun Bay	Suisun Bay	7/1/2021	12.30	2.78	20.50	16857.13	7.97	8.42	99.21	10.22	3.10	29.68	5.31	32.81	20.47	15893.07	10.28	2.57	4.48	2.57	9.68	26.70	46.59	21.70	15.08	2.52	2.98
A3637	38.073087	-121.567128	Central Delta tidal zone	Old River	7/1/2021	7.52	0.77	24.49	571.03	8.25	8.15	97.85	7.58	4.00	31.37	7.12	33.13	24.44	578.86	0.28	5.29	17.12	1.89	24.28	21.79	70.49	7.78	8.25	2.62	2.26
A796	38.070144	-121.840356	Western Delta tidal zone	Sacramento River	7/1/2021	7.09	1.59	21.44	6784.48	8.04	8.36	96.66	9.53	2.55	28.24	4.33	30.30	21.41	6491.41	3.84	3.14	5.38	1.57	10.08	31.17	52.67	15.54	8.68	2.43	2.63
A754	38.074026	-121.769971	Western Delta tidal zone	Sacramento River	7/1/2021	7.48	0.66	22.44	3010.25	8.07	8.21	95.48	13.84	1.69	24.01	3.08	26.11	22.42	2935.92	1.61	2.65	5.88	0.72	9.25	28.67	63.65	7.79	8.05	2.17	2.58
A4212	38.076550	-121.502054	Central Delta tidal zone	Little Potato Slough	7/1/2021	8.35	1.33	25.12	196.82	7.66	7.20	87.37	2.56	2.23	32.78	4.19	32.91	25.13	205.98	0.10	4.50	4.68	0.19	9.38	47.94	49.89	2.06	9.59	2.71	1.67
A898	38.065472	-122.003965	Suisun Bay	Suisun Bay	7/1/2021	12.54	2.32	20.56	17092.07	7.97	8.35	98.52	13.84	2.98	29.45	5.09	32.84	20.53	15952.24	10.31	2.58	4.59	2.57	9.76	26.38	47.04	25.64	14.86	2.50	2.97
A1192	38.070819	-121.947184	Suisun Bay	Honker Bay	7/1/2021	11.81	2.06	20.52	16302.91	8.03	8.33	97.94	14.60	2.48	29.83	3.93	32.84	20.51	15331.07	9.88	2.97	5.07	1.24	9.29	32.01	54.61	13.31	13.48	2.53	2.94
A1194	38.070868	-121.943484	Suisun Bay	Honker Bay	7/1/2021	11.78	2.43	20.55	16325.14	8.03	8.31	97.69	15.78	2.55	29.75	3.98	32.83	20.53	15355.09	9.89	3.02	5.10	1.35	9.47	31.90	53.87	14.22	13.73	2.52	2.94
A1006	38.072711	-122.095207	Suisun Bay	Suisun Bay	7/1/2021	16.53	2.50	20.00	22893.60	7.97	8.06	96.21	49.93	4.70	28.87	6.82	36.02	19.98	21219.57	14.24	2.66	5.11	3.80	11.57	22.88	43.36	32.78	19.02	2.47	3.25
A3635	38.076122	-121.568789	Central Delta tidal zone	San Joaquin River	7/1/2021	7.56	0.84	24.38	585.50	8.23	8.08	96.88	7.64	3.78	30.57	6.84	32.47	24.33	592.50	0.29	5.01	15.95	1.57	22.56	22.23	70.74	6.83	8.41	2.57	2.28
A3497	38.077325	-121.680408	Central Delta tidal zone	San Joaquin River	7/1/2021	5.41	0.62	22.78	1963.26	8.10	8.05	93.92	8.82	2.75	27.16	5.07	28.84	22.75	1915.50	1.02	2.59	9.01	1.59	13.16	19.72	68.41	12.06	6.03	2.36	2.37
A752	38.075317	-121.766652	Western Delta tidal zone	Sacramento River	7/1/2021	7.41	0.51	22.51	2826.04	8.07	8.18	95.29	13.98	1.71	23.80	3.10	25.87	22.49	2762.28	1.51	2.71	5.90	0.72	9.32	29.08	63.33	7.72	7.87	2.16	2.58
A4879	38.078352	-121.647538	Central Delta tidal zone	Fishermans Cut	7/1/2021	4.81	0.64	24.64	637.32	8.42	8.72	104.94	9.03	4.26	28.34	7.06	29.19	24.69	647.82	0.32	4.54	17.32	1.81	23.68	19.13	72.98	7.74	5.57	2.44	2.32
A1196	38.071474	-121.939826	Suisun Bay	Honker Bay	7/1/2021	11.71	2.76	20.63	16231.50	8.02	8.27	97.43	16.44	2.54	29.60	3.97	32.55	20.61	15287.83	9.83	3.02	5.09	1.43	9.54	31.61	53.36	15.01	13.96	2.51	2.93
A4210	38.078970	-121.500244	Central Delta tidal zone	Little Potato Slough	7/1/2021	8.33	1.33	25.10	192.98	7.66	7.18	87.14	2.60	2.18	32.64	4.15	32.77	25.11	201.29	0.10	4.43	4.57	0.19	9.20	48.13	49.72	2.03	9.60	2.70	1.63
A3633	38.077527	-121.572690	Central Delta tidal zone	San Joaquin River	7/1/2021	7.36	0.98	24.28	614.60	8.27	8.13	97.19	8.23	3.92	30.20	6.97	32.37	24.23	620.56	0.31	5.08	17.18	1.59	24.02	21.43	70.86	6.88	8.34	2.55	2.32
A1008	38.074686	-122.092270	Suisun Bay	Suisun Bay	7/1/2021	16.30	2.39	20.03	22620.06	7.97	8.04	95.85	47.59	4.76	29.17	6.93	36.27	20.00	20964.76	14.05	2.70	5.10	3.80	11.62	23.25	43.45	32.69	18.68	2.49	3.26
A750	38.076661	-121.763431	Western Delta tidal zone	Sacramento River	7/1/2021	7.32	0.41	22.67	2526.76	8.07	8.19	95.59	13.36	1.66	23.51	3.02	25.53	22.66	2468.46	1.34	2.75	5.94	0.65	9.34	29.49	63.62	7.00	7.73	2.14	2.57
A1184	38.073076	-121.962275	Suisun Bay	Honker Bay	7/1/2021	12.30	0.40	20.69	17256.84	8.01	8.27	97.80	13.99	2.36	29.69	3.81	32.58	20.66	16316.13	10.53	2.87	5.04	1.34	9.23	31.10	54.56	14.47	12.71	2.52	2.96
A3495	38.080105	-121.681103	Central Delta tidal zone	San Joaquin River	7/1/2021	5.65	0.84	22.77	2024.88	8.10	8.08	94.35	9.61	2.71	27.06	5.01	28.96	22.74	1980.64	1.06	2.62	8.32	1.53	12.48	21.02	66.63	12.29	6.49	2.36	2.34
A1198	38.074047	-121.936673	Suisun Bay	Honker Bay	7/1/2021	11.77	2.29	20.61	16441.75	8.03	8.28	97.51	16.05	2.46	29.62	3.87	32.45	20.59	15495.50	9.98	3.05	5.10	1.38	9.54	32.03	53.41	14.39	13.53	2.51	2.93
A3631	38.080465	-121.574039	Central Delta tidal zone	Little Potato Slough	7/1/2021	7.62	1.03	24.28	600.00	8.23	8.05	96.24	8.20	3.74	30.16	6.73	32.24	24.22	608.76	0.30	4.98	15.53	1.32	21.90	22.86	70.81	6.02	8.65	2.55	2.33
A4208	38.081276	-121.501848	Central Delta tidal zone	Little Potato Slough	7/1/2021	8.31	1.31	25.08	189.84	7.65	7.17	86.96	2.65	2.14	32.55	4.12	32.68	25.09	197.54	0.09	4.37	4.50	0.17	9.06	48.25	49.70	1.91	9.59	2.69	1.60
A1160	38.080151	-121.981070	Suisun Bay	Suisun Bay	7/1/2021	12.92	0.51	20.72	17216.17	8.00	8.08	95.74	39.56	3.57	28.01	5.22	32.98	20.70	16244.89	10.47	2.92	5.44	2.09	10.45	27.90	52.01	19.92	13.43	2.42	2.96
A4877	38.081310	-121.648142	Central Delta tidal zone	Fishermans Cut	7/1/2021	4.94	0.82	24.56	701.16	8.39	8.66	104.09	8.88	4.17	28.34	6.94	29.29	24.59	710.41	0.35	4.43	16.88	1.81	23.13	19.21	72.67	7.93	6.02	2.44	2.32
A748	38.077966	-121.760124	Western Delta tidal zone	Sacramento River	7/1/2021	7.31	0.54	22.79	2356.83	8.08	8.25	96.45	12.48	1.59	23.37	2.89	25.34	22.78	2293.48	1.23	2.73	5.97	0.61	9.30	29.38	64.18	6.53	7.85	2.13	2.56
A1010	38.076624	-122.089267	Suisun Bay	Suisun Bay	7/1/2021	15.96	2.29	20.06	22414.39	7.97	8.00	95.39	45.61	4.67	29.59	6.86	36.55	20.03	20815.48	13.93	2.74	5.11	3.71	11.55	23.72	43.49	32.07	18.24	2.51	3.27
A746	38.079584	-121.757026	Western Delta tidal zone	Sacramento River	7/1/2021	7.29	0.61	22.82	2290.13	8.08	8.26	96.59	12.31	1.58	23.33	2.88	25.25	22.81	2226.80	1.19	2.74	5.97	0.61	9.32	29.42	64.14	6.62	7.90	2.13	2.56
A3629	38.083251	-121.573937	Central Delta tidal zone	San Joaquin River	7/1/2021	7.69	1.02	24.34	579.17	8.21	8.04	96.21	8.07	3.72	30.25	6.68	32.21	24.29	589.59	0.29	5.06	15.10	1.25	21.41	23.71	70.52	5.80	8.71	2.55	2.32
A1012	38.078565	-122.086253	Suisun Bay	Suisun Bay	7/1/2021	15.89	2.25	20.08	22299.84	7.97	7.99	95.22	47.76	4.64	29.89	6.85	36.91	20.06	20722.94	13.85	2.75	5.13	3.70	11.57	23.79	43.81	31.99	18.08	2.53	3.27
A4206	38.083951	-121.502917	Central Delta tidal zone	Little Potato Slough	7/1/2021	8.24	1.30	25.05	184.94	7.65	7.18	86.97	2.73	2.06	32.23	4.02	32.47	25.06	191.30	0.09	4.24	4.40	0.12	8.78	48.37	50.14	1.41	9.55	2.67	1.54
A744	38.080898	-121.753821	Western Delta tidal zone	Sacramento River	7/1/2021	7.27	0.77	22.86	2144.03	8.08	8.23	96.29	12.69	1.61	23.20	2.96	25.09	22.84	2079.51	1.11	2.78	5.98	0.64	9.40	29.70	63.65	6.86	8.04	2.12	2.55
A1188	38.073248	-121.954625	Suisun Bay	Honker Bay	7/1/2021	11.89	0.82	20.65	16610.66	8.03	8.37	98.71	11.57	2.22	29.68	3.66	32.31	20.64	15694.77	10.10	2.96	4.99	1.18	9.12	32.43	54.73	12.92	12.65	2.52	2.95
A4875	38.084210	-121.646995	Central Delta tidal zone	Fishermans Cut	7/1/2021	5.60	0.99	24.14	986.25	8.29	8.49	101.38	9.05	3.77	28.30	6.43	29.66	24.15	988.21	0.50	4.01	14.49	1.69	20.24	20.25	70.89	8.58	6.97	2.44	2.31
A3926	38.083319	-121.683845	Western Delta tidal zone	Threemile Slough	7/1/2021	5.67	0.94	22.71	2089.47	8.09	8.08	94.07	10.33	2.71	27.02	4.98	29.00	22.67	2039.41	1.09	2.57	8.08	1.50	12.16	21.18	66.49	12.36	6.61	2.35	2.35
A1157	38.083332	-121.984785	Suisun Bay	Suisun Bay	7/1/2021	12.96	0.56	20.75	17332.81	8.00	8.10	95.95	33.19	3.45	28.35	5.11	32.89	20.72	16338.03	10.53	2.92	5.36	2.12	10.41	28.08	51.48	20.40	13.52	2.43	2.97
A742	38.082427	-121.750674	Western Delta tidal zone	Sacramento River	7/1/2021	7.26	0.83	22.86	2058.75	8.08	8.21	95.95	13.26	1.68	23.08	3.05	25.01	22.84	1993.70	1.06	2.82	5.97	0.66	9.45	29.97	63.16	6.99	8.10	2.11	2.54
A1014	38.080343	-122.082763	Suisun Bay	Suisun Bay	7/1/2021	15.82	2.27	20.13	22130.13	7.96	7.96	94.96	55.23	4.62	30.08	6.91	37.49	20.11	20580.90	13.73	2.73	5.21	3.73	11.65	23.48	44.16	32.02	18.03	2.54	3.28
