"Citation: Graham, J.L., Rosen, B.H., Dubrovsky, N.M., Loftin, K.A., and Stelzer, E.A., 2021, Phytoplankton data for samples collected at eleven large river sites throughout the United States, June through October 2018: U.S. Geological Survey data release, https://doi.org/10.5066/P9N4Q9HG.",,,,,,,,,,,,,,,,
USGS Station ID,USGS Station Name,Sample Date,Sample Time,Initial Volume (mL),Final Volume (mL),Sample Weight Counted (grams),Number of strips counted,Volume per strip (mL),Raw volume counted (mL),Concentration factor,Tally (natural units),Raw cell count (cells),Division,Taxa,Natural units per mL,Cells per mL
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,10:40,410,10,0.0104,40.59,0.0002562,0.0104,40.5,1,1,Bacillariophyta,Achnanthes,2.37,2.37
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,10:40,410,10,0.0104,40.59,0.0002562,0.0104,40.5,1,1,Bacillariophyta,Amphora,2.37,2.37
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,10:40,410,10,0.0104,40.59,0.0002562,0.0104,40.5,5,5,Bacillariophyta,Cyclotella,11.87,11.87
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,10:40,410,10,0.0104,40.59,0.0002562,0.0104,40.5,4,8,Bacillariophyta,Melosira varian,9.50,18.99
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,10:40,410,10,0.0104,40.59,0.0002562,0.0104,40.5,2,2,Bacillariophyta,Navicula,4.75,4.75
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,10:40,410,10,0.0104,40.59,0.0002562,0.0104,40.5,1,1,Bacillariophyta,Nitzschia,2.37,2.37
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,10:40,410,10,0.0104,40.59,0.0002562,0.0104,40.5,5,5,Bacillariophyta,Ulnaria,11.87,11.87
01184000,"Connecticut River at Thompsonville, CT",6/12/2018,10:40,410,10,0.0104,40.59,0.0002562,0.0104,40.5,452,452,Cryptophyta,Cryptomonads,1073.12,1073.12
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,4,4,Bacillariophyta,Achnanthes,9.56,9.56
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,3,3,Bacillariophyta,Amphora,7.17,7.17
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,15,15,Bacillariophyta,Cyclotella,35.83,35.83
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,5,5,Bacillariophyta,Eunotia,11.94,11.94
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,1,4,Bacillariophyta,Melosira cf.,2.39,9.56
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,7,12,Bacillariophyta,Melosira varian,16.72,28.67
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,4,4,Bacillariophyta,Navicula,9.56,9.56
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,3,3,Bacillariophyta,Nitzschia,7.17,7.17
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,7,7,Bacillariophyta,Ulnaria,16.72,16.72
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,1,1,Chlorophyta,Ankistrodesmus/Monoraphidium/ Selenastrum,2.39,2.39
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,1,4,Chlorophyta,Desmodesmus,2.39,9.56
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,1,4,Chlorophyta,Scenedesmus,2.39,9.56
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,2,2,Chlorophyta,Unicells,4.78,4.78
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,190,190,Cryptophyta,Cryptomonads,453.89,453.89
01184000,"Connecticut River at Thompsonville, CT",6/20/2018,11:30,465,10,0.0091,40.59,0.0002242,0.0091,46.0,2,46,Cyanophyta,Pseudanabaena,4.78,109.89
01184000,"Connecticut River at Thompsonville, CT",7/11/2018,11:00,440,10,0.0097,40.59,0.0002390,0.0097,43.5,2,2,Bacillariophyta,Achnanthes,4.74,4.74
01184000,"Connecticut River at Thompsonville, CT",7/11/2018,11:00,440,10,0.0097,40.59,0.0002390,0.0097,43.5,1,1,Bacillariophyta,Amphora,2.37,2.37
01184000,"Connecticut River at Thompsonville, CT",7/11/2018,11:00,440,10,0.0097,40.59,0.0002390,0.0097,43.5,8,8,Bacillariophyta,Cyclotella,18.96,18.96
01184000,"Connecticut River at Thompsonville, CT",7/11/2018,11:00,440,10,0.0097,40.59,0.0002390,0.0097,43.5,9,9,Bacillariophyta,Didymosphenia,21.33,21.33
01184000,"Connecticut River at Thompsonville, CT",7/11/2018,11:00,440,10,0.0097,40.59,0.0002390,0.0097,43.5,3,3,Bacillariophyta,Eunotia,7.11,7.11
01184000,"Connecticut River at Thompsonville, CT",7/11/2018,11:00,440,10,0.0097,40.59,0.0002390,0.0097,43.5,2,20,Bacillariophyta,Fragilaria,4.74,47.40
01184000,"Connecticut River at Thompsonville, CT",7/11/2018,11:00,440,10,0.0097,40.59,0.0002390,0.0097,43.5,1,1,Bacillariophyta,Hantzschia,2.37,2.37
