CL ID	"Latitude (Decimal Degrees, NAD83)"	"Longitude (Decimal Degrees, NAD83)"	Region	Location	"Time Period (Month, Year)"	NO3 (uM) (SUNA) SA	NH4 (uM) (Tline) SA	Water Temp (deg. C) (EXO) SA	Sp Cond (uS/cm) (EXO) SA	pH (EXO) SA	DO (mg/L) (EXO) SA	DO (%sat) (EXO) SA	Turb (FNU) (EXO) SA	fCHL (ug/L) (EXO) SA	fDOM (QSU) (EXO) SA	fCHL (ug/L) (WS) SA	fDOM (QSU) (WS) SA	Water Temp (deg. C) (TSG) SA	Cond (uS/cm) (TSG) SA	Salinity (PSU) (TSG) SA	Green Algae (ug/L) (FP) SA	Bluegreen (ug/L) (FP) SA	Diatoms (ug/L) (FP) SA	Cryptophyta (ug/L) (FP) SA	Total Conc (ug/L) (FP) SA	Green Algae (%) (FP) SA	Bluegreen (%) (FP) SA	Diatoms (%) (FP) SA	Cryptophyta (%) (FP) SA	H2O Delta 18O (per mil) (Picarro) SA	H2O Delta 2H (per mil) (Picarro) SA	estDIN (uM) SA	estDOC (mg-C/L) SA	estDON (uM) SA	estTDN (uM) SA	Orthophosphate (uM) SA
A4801	38.03903	-121.44017	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.68	0.28	27.75	324.63	7.67	7.16	91.14	2.39	6.56	54.11	12.88	52.73	27.78	350.3	0.16	10.14	3.91	4.51	0.00	18.60	54.05	21.43	24.31	0.00	-10.82	-77.63	0.96	3.91	25.76	26.72	3.25
A3694	38.03744	-121.49573	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	4.22	0.24	26.03	366.21	7.67	7.41	91.55	2.99	2.10	38.98	4.60	39.06	26.04	384.8	0.18	2.40	2.89	1.43	0.00	6.74	35.57	42.95	21.31	0.00	-10.82	-77.62	4.42	3.05	18.65	22.99	1.94
A5238	38.04117	-121.40475	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	0.54	0.25	28.01	389.62	7.88	7.83	100.13	3.11	7.41	58.82	14.40	59.57	28.03	422.5	0.19	13.37	5.15	4.33	0.00	22.86	58.34	22.82	18.82	0.00	-10.82	-77.63	0.78	4.18	27.98	29.07	1.95
A4823	38.04226	-121.41954	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.50	0.25	27.89	359.24	7.70	7.24	92.40	3.15	6.50	54.67	12.87	55.95	27.92	389.8	0.18	10.86	4.77	3.79	0.00	19.44	55.75	24.56	19.52	0.00	-10.82	-77.63	0.75	3.95	26.03	26.77	1.99
A3691	38.04014	-121.50088	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	4.05	0.32	25.93	361.14	7.64	7.44	91.65	3.48	2.17	37.67	4.53	37.59	25.94	379.1	0.18	2.42	3.08	1.42	0.00	6.93	34.73	44.60	20.49	0.00	-10.82	-77.62	4.37	2.98	18.03	22.41	1.81
A4814	38.04187	-121.42860	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.52	0.26	27.88	347.02	7.69	7.30	93.13	2.59	7.48	55.68	14.69	54.86	27.91	375.3	0.17	11.13	4.68	5.34	0.00	21.09	52.71	22.23	25.34	0.00	-10.82	-77.64	0.78	4.00	26.50	27.28	2.69
A4425	38.04290	-121.57708	Central Delta Tidal Transition Zone	Old River	Jul-2022	1.25	0.28	25.58	468.41	8.00	8.02	98.16	4.65	2.12	27.45	4.55	27.58	25.61	486.5	0.23	2.43	7.34	1.43	0.00	11.18	21.95	65.17	13.05	0.00	-10.77	-77.43	1.66	2.39	13.23	14.70	1.80
A4769	38.04477	-121.47368	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	2.06	0.25	26.82	280.38	7.56	6.84	85.68	2.66	3.78	52.01	7.78	50.91	26.86	299.4	0.14	6.17	2.96	2.11	0.00	11.29	53.84	26.89	18.84	0.00	-10.82	-77.64	2.32	3.79	24.78	25.79	2.74
A3689	38.04493	-121.49938	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	4.55	0.64	25.87	340.58	7.60	7.35	90.43	4.32	2.07	38.22	4.38	38.18	25.89	358.2	0.17	2.41	2.94	1.23	0.00	6.58	36.43	45.09	18.48	0.00	-10.82	-77.62	5.17	3.01	18.30	23.43	1.80
A4775	38.05019	-121.46532	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	1.37	0.25	27.06	265.19	7.58	6.97	87.68	2.44	4.38	50.96	8.71	49.84	27.10	283.4	0.13	7.50	3.18	2.29	0.00	12.99	57.56	24.62	17.64	0.00	-10.83	-77.64	1.62	3.73	24.28	25.86	2.74
A4780	38.05154	-121.46013	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.95	0.25	27.21	267.68	7.59	7.02	88.50	2.34	4.38	50.78	8.70	49.70	27.24	287.0	0.13	7.49	3.17	2.30	0.00	12.95	57.77	24.55	17.78	0.00	-10.83	-77.64	1.20	3.72	24.20	25.37	2.84
A4974	38.05264	-121.51919	Central Delta Tidal Transition Zone	Three River Reach	Jul-2022	2.89	0.23	25.84	367.83	7.88	7.62	93.72	2.71	1.89	35.28	4.37	34.80	25.85	384.0	0.18	2.33	3.36	1.46	0.00	7.17	32.53	46.99	20.40	0.00	-10.81	-77.58	3.11	2.84	16.91	20.05	1.65
A4778	38.05385	-121.45999	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	1.06	0.26	27.25	264.05	7.58	7.02	88.62	2.34	4.47	50.83	8.89	49.55	27.28	283.2	0.13	7.60	3.13	2.46	0.00	13.15	57.90	23.77	18.62	0.00	-10.83	-77.65	1.32	3.73	24.22	25.54	2.73
A4955	38.05502	-121.53476	Central Delta Tidal Transition Zone	Mandeville Reach	Jul-2022	3.20	0.25	25.30	365.78	8.07	7.79	94.82	3.46	1.46	29.42	3.51	29.31	25.30	377.5	0.18	1.55	4.20	1.18	0.00	6.95	22.31	60.45	17.06	0.00	-10.80	-77.55	3.42	2.51	14.16	17.63	1.63
A3657	38.05696	-121.54306	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	2.71	0.25	25.22	366.81	8.05	7.86	95.55	3.81	1.43	27.55	3.40	27.31	25.25	378.8	0.18	1.59	4.20	1.06	0.00	6.85	23.20	61.26	15.46	0.00	-10.80	-77.52	2.96	2.40	13.28	16.23	1.71
A3650	38.05901	-121.55554	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	3.97	0.25	24.88	346.18	8.14	7.70	93.04	4.30	1.13	22.75	2.93	24.24	24.87	354.7	0.17	1.13	3.92	1.01	0.00	6.08	18.62	64.48	16.65	0.00	-10.79	-77.48	4.20	2.13	11.02	15.17	1.60
A3509	38.05988	-121.67983	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	4.47	0.25	23.67	1053.41	8.14	8.19	96.91	7.04	1.40	21.76	3.18	22.83	23.66	1051.9	0.53	1.07	2.82	1.53	0.00	5.47	19.53	53.04	28.04	0.00	-10.69	-77.27	4.71	2.07	10.56	15.28	1.82
A4394	38.06127	-121.58218	Central Delta Tidal Transition Zone	Old River	Jul-2022	1.41	0.25	25.41	452.40	8.02	8.14	99.16	4.54	1.81	27.62	3.90	26.89	25.44	468.0	0.22	1.99	6.47	1.06	0.00	9.57	20.79	67.64	11.09	0.00	-10.75	-77.38	1.66	2.40	13.31	14.98	1.82
A4216	38.07190	-121.50369	Central Delta Tidal Transition Zone	Little Potato Slough	Jul-2022	5.09	1.34	26.00	148.56	7.47	7.52	92.74	2.35	1.64	32.98	3.59	32.37	26.04	156.9	0.08	2.19	2.02	0.92	0.00	5.17	42.32	39.17	17.70	0.00	-10.82	-77.59	6.43	2.71	15.83	22.28	1.36
A3493	38.08268	-121.68143	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	4.69	0.25	23.78	927.55	8.10	8.11	96.13	7.38	1.50	21.55	3.31	22.41	23.77	928.6	0.47	1.33	2.85	1.54	0.00	5.71	23.31	49.95	26.87	0.00	-10.65	-77.17	4.94	2.06	10.46	15.40	1.72
A3490	38.08683	-121.67998	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	4.41	0.25	23.98	846.74	8.02	8.01	95.36	6.85	1.48	21.88	3.32	22.55	23.98	852.1	0.43	1.31	2.75	1.46	0.00	5.52	23.78	49.94	26.41	0.00	-10.64	-77.15	4.64	2.08	10.61	15.26	1.72
A3462	38.08771	-121.63653	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	3.92	0.25	24.48	605.67	7.92	7.84	94.14	5.89	1.45	22.69	3.24	23.05	24.50	609.3	0.30	1.31	2.77	1.28	0.00	5.38	24.35	51.33	23.87	0.00	-10.66	-77.15	4.20	2.12	10.99	15.20	1.79
A4268	38.09200	-121.49330	Central Delta Tidal Transition Zone	White Slough	Jul-2022	4.55	0.98	25.73	137.69	7.49	7.45	91.46	4.49	1.96	33.10	4.25	33.13	25.75	144.0	0.07	2.41	1.88	1.31	0.00	5.63	42.51	33.70	23.34	0.00	-10.82	-77.59	5.61	2.72	15.89	21.72	1.22
A3621	38.09461	-121.57951	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	3.27	0.25	24.82	410.65	8.00	7.86	94.90	4.87	1.29	23.65	3.08	23.73	24.83	420.4	0.20	1.25	3.65	1.05	0.00	5.96	21.23	60.90	17.84	0.00	-10.70	-77.18	3.52	2.18	11.44	14.96	1.34
A3761	38.00095	-121.45085	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	10.90	0.25	26.43	410.69	7.79	7.27	90.38	2.35	2.37	48.14	5.16	48.37	26.42	433.8	0.20	2.42	3.18	1.79	0.00	7.39	32.74	43.05	24.28	0.00	-10.82	-77.60	11.25	3.57	22.96	34.25	3.65
A5009	38.00210	-121.51185	Central Delta Tidal Transition Zone	Middle River	Jul-2022	3.87	0.25	25.75	428.08	7.63	7.25	89.05	5.21	2.11	35.98	4.54	35.99	25.78	445.7	0.21	2.12	3.35	1.36	0.00	6.83	31.03	49.12	19.96	0.00	-10.81	-77.57	4.15	2.88	17.24	20.53	2.12
A3759	38.00396	-121.45175	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	10.57	0.25	26.41	409.67	7.80	7.28	90.45	2.36	2.37	48.07	5.23	48.32	26.40	432.5	0.20	2.48	3.20	1.83	0.00	7.52	32.92	42.62	24.31	0.00	-10.82	-77.60	10.77	3.57	22.92	33.66	3.55
A5006	38.00549	-121.51480	Central Delta Tidal Transition Zone	Middle River	Jul-2022	4.10	0.25	25.76	419.00	7.66	7.48	91.87	3.88	2.02	34.28	4.21	33.98	25.78	437.0	0.21	1.98	3.27	1.30	0.00	6.55	30.25	49.87	19.93	0.00	-10.81	-77.57	4.20	2.78	16.44	20.26	2.08
A3757	38.00642	-121.45357	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	9.03	0.25	26.37	404.56	7.80	7.30	90.71	2.34	2.32	47.11	5.21	47.21	26.36	427.3	0.20	2.50	3.17	1.80	0.00	7.49	33.26	42.32	24.08	0.00	-10.82	-77.61	9.27	3.52	22.47	31.74	3.41
A5004	38.00791	-121.51269	Central Delta Tidal Transition Zone	Middle River	Jul-2022	4.19	0.25	25.75	414.26	7.66	7.55	92.78	3.09	1.97	33.71	4.12	33.22	25.78	432.0	0.21	1.91	3.22	1.30	0.00	6.45	29.50	49.99	20.14	0.00	-10.81	-77.57	4.43	2.75	16.17	20.34	2.02
A3755	38.00896	-121.45539	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	7.53	0.25	26.32	398.15	7.80	7.31	90.74	2.35	2.24	45.77	5.13	45.88	26.31	420.5	0.20	2.50	3.15	1.75	0.00	7.43	33.50	42.44	23.59	0.00	-10.82	-77.61	7.78	3.44	21.84	29.63	3.26
A5002	38.01070	-121.51660	Central Delta Tidal Transition Zone	Middle River	Jul-2022	4.27	0.25	25.73	408.92	7.67	7.67	94.13	2.85	1.87	32.69	3.91	32.11	25.77	426.1	0.20	1.82	3.19	1.25	0.00	6.30	28.98	50.74	19.85	0.00	-10.81	-77.57	4.45	2.69	15.69	20.15	1.99
A5586	38.01114	-121.58055	Central Delta Tidal Transition Zone	Holland Cut	Jul-2022	0.50	0.25	25.70	536.74	7.71	7.57	92.89	4.51	2.22	31.08	4.75	30.27	25.72	557.8	0.27	2.77	9.15	1.07	0.00	13.00	21.36	70.38	8.25	0.00	-10.79	-77.49	0.75	2.60	14.94	15.69	1.93
A5000	38.01265	-121.51940	Central Delta Tidal Transition Zone	Middle River	Jul-2022	4.25	0.25	25.71	407.91	7.66	7.69	94.31	2.92	1.80	32.49	3.84	31.93	25.75	424.9	0.20	1.80	3.24	1.21	0.00	6.26	28.81	51.63	19.31	0.00	-10.81	-77.57	4.48	2.68	15.60	20.09	1.96
A3733	38.01088	-121.45824	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	6.36	0.25	26.25	390.05	7.81	7.30	90.50	2.36	2.21	44.07	4.96	44.21	26.24	411.0	0.19	2.47	3.07	1.70	0.00	7.29	33.91	42.06	23.26	0.00	-10.82	-77.61	6.61	3.34	21.04	27.65	3.04
A5584	38.01394	-121.58093	Central Delta Tidal Transition Zone	Holland Cut	Jul-2022	0.51	0.25	25.68	534.76	7.73	7.59	93.16	4.61	2.20	30.89	4.66	30.10	25.71	555.5	0.27	2.65	9.52	1.04	0.00	13.24	20.02	71.88	7.83	0.00	-10.79	-77.48	0.76	2.59	14.85	15.61	1.91
A4998	38.01513	-121.51764	Central Delta Tidal Transition Zone	Middle River	Jul-2022	4.21	0.25	25.74	407.19	7.64	7.67	94.19	3.04	1.85	33.04	3.94	32.55	25.78	424.0	0.20	1.89	3.20	1.22	0.00	6.32	29.71	50.86	19.32	0.00	-10.81	-77.57	4.46	2.71	15.86	20.32	1.94
A3731	38.01438	-121.45810	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	5.80	0.25	26.27	387.41	7.81	7.30	90.42	2.34	2.21	43.68	5.02	43.82	26.26	408.1	0.19	2.54	3.06	1.76	0.00	7.39	34.01	41.74	23.75	0.00	-10.82	-77.61	6.05	3.32	20.86	26.92	3.03
A3729	38.01667	-121.46024	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	5.37	0.25	26.22	383.62	7.82	7.29	90.28	2.33	2.20	42.83	4.80	42.92	26.21	403.4	0.19	2.42	2.95	1.66	0.00	7.09	34.04	41.85	23.34	0.00	-10.82	-77.61	5.62	3.27	20.46	26.09	2.82
A3727	38.01839	-121.46352	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	5.00	0.25	26.21	382.26	7.82	7.29	90.36	2.36	2.12	42.51	4.70	42.60	26.20	401.9	0.19	2.41	2.91	1.60	0.00	6.96	34.40	42.02	22.91	0.00	-10.82	-77.62	5.25	3.25	20.31	25.57	2.73
A5580	38.01964	-121.58231	Central Delta Tidal Transition Zone	Holland Cut	Jul-2022	0.50	0.25	25.68	533.18	7.74	7.62	93.50	4.73	2.25	30.68	4.67	29.90	25.71	553.9	0.26	2.64	9.89	1.05	0.00	13.61	19.42	72.65	7.72	0.00	-10.78	-77.48	0.75	2.58	14.75	15.50	1.89
A3725	38.02112	-121.46494	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	4.59	0.25	26.18	380.87	7.82	7.30	90.41	2.37	2.04	42.11	4.65	42.19	26.17	400.4	0.19	2.39	2.90	1.60	0.00	6.93	34.35	42.04	23.04	0.00	-10.82	-77.62	4.84	3.23	20.12	24.97	2.67
A5255	38.02254	-121.38986	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	20.80	0.25	28.00	509.30	7.80	8.33	106.55	3.08	13.25	86.58	23.98	87.47	28.01	550.2	0.25	21.10	6.48	7.64	0.00	35.26	59.58	18.57	21.76	0.00	-10.82	-77.61	21.05	5.76	41.02	62.08	5.40
A5578	38.02263	-121.58205	Central Delta Tidal Transition Zone	Holland Cut	Jul-2022	0.51	0.25	25.68	530.46	7.77	7.67	94.13	4.76	2.28	30.47	4.70	29.76	25.71	551.4	0.26	2.63	10.33	1.08	0.00	14.07	18.75	73.36	7.64	0.00	-10.78	-77.47	0.78	2.57	14.65	15.41	1.87
A4993	38.02215	-121.51715	Central Delta Tidal Transition Zone	Middle River	Jul-2022	3.88	0.25	26.04	407.21	7.54	7.50	92.62	3.94	2.26	38.84	4.97	38.36	26.06	425.9	0.20	2.75	3.29	1.49	0.00	7.58	36.14	43.63	19.60	0.00	-10.81	-77.58	4.13	3.04	18.59	22.71	1.84
A4850	38.02297	-121.51312	Central Delta Tidal Transition Zone	Columbia Cut	Jul-2022	4.02	0.25	26.11	405.58	7.53	7.35	90.84	5.33	2.40	39.53	5.09	39.18	26.13	425.2	0.20	2.91	3.20	1.59	0.00	7.61	38.18	42.25	20.94	0.00	-10.81	-77.58	4.27	3.08	18.91	23.18	1.87
A5253	38.02397	-121.39305	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	11.38	0.25	28.06	483.92	8.06	8.97	114.87	3.12	15.74	83.17	29.55	84.51	28.06	523.0	0.24	27.67	7.96	9.66	0.00	45.35	60.90	17.64	21.35	0.00	-10.82	-77.62	11.63	5.57	39.42	51.05	4.62
A4852	38.02427	-121.50987	Central Delta Tidal Transition Zone	Columbia Cut	Jul-2022	4.34	0.25	26.11	396.92	7.51	7.20	88.95	6.71	2.32	39.85	4.92	39.63	26.13	416.5	0.20	2.80	3.06	1.51	0.00	7.25	38.50	42.22	20.78	0.00	-10.81	-77.59	4.60	3.10	19.06	23.65	1.89
A3723	38.02400	-121.46564	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	3.93	0.25	26.14	374.66	7.81	7.28	89.98	2.35	2.13	41.48	4.82	41.48	26.13	393.6	0.19	2.46	2.97	1.74	0.00	7.19	33.69	41.84	24.31	0.00	-10.82	-77.62	4.18	3.19	19.82	24.00	2.70
A5576	38.02540	-121.58336	Central Delta Tidal Transition Zone	Holland Cut	Jul-2022	0.50	0.25	25.68	531.22	7.78	7.72	94.66	4.78	2.26	30.35	4.73	29.63	25.71	552.2	0.26	2.62	10.63	1.11	0.00	14.39	18.24	73.82	7.73	0.00	-10.78	-77.46	0.77	2.56	14.60	15.35	1.86
A5251	38.02540	-121.39623	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	5.21	0.25	28.00	466.71	8.14	9.02	115.35	3.19	15.11	80.48	29.00	81.95	28.00	504.2	0.23	27.67	8.23	9.74	0.00	45.73	60.35	18.17	21.28	0.00	-10.82	-77.62	5.46	5.42	38.16	43.62	4.05
A3721	38.02566	-121.46867	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	3.86	0.25	26.05	374.22	7.83	7.27	89.83	2.38	2.05	40.46	4.64	40.48	26.05	392.5	0.19	2.26	2.99	1.72	0.00	6.98	32.44	42.91	24.63	0.00	-10.82	-77.62	4.11	3.14	19.35	23.46	2.64
A4854	38.02597	-121.50681	Central Delta Tidal Transition Zone	Columbia Cut	Jul-2022	4.49	0.25	26.09	390.13	7.51	7.19	88.88	6.06	2.26	39.75	4.79	39.53	26.11	409.2	0.19	2.68	2.99	1.45	0.00	7.09	37.79	42.13	20.48	0.00	-10.82	-77.59	4.74	3.10	19.01	23.76	1.90
A4856	38.02671	-121.50317	Central Delta Tidal Transition Zone	Columbia Cut	Jul-2022	4.53	0.25	26.20	387.76	7.54	7.27	90.02	3.59	2.24	38.89	4.89	38.40	26.22	407.1	0.19	2.56	2.92	1.64	0.00	7.10	35.96	41.09	23.14	0.00	-10.82	-77.60	4.79	3.05	18.61	23.40	1.95
A4866	38.02676	-121.48675	Central Delta Tidal Transition Zone	Columbia Cut	Jul-2022	4.29	0.25	26.14	384.22	7.67	7.46	92.03	2.36	2.16	38.80	4.68	38.42	26.14	402.9	0.19	2.24	2.88	1.62	0.00	6.71	33.61	42.81	23.98	0.00	-10.82	-77.61	4.40	3.04	18.56	22.91	2.37
A5249	38.02686	-121.39941	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	2.51	0.25	27.94	451.74	8.14	8.91	113.78	3.24	13.48	76.47	26.13	77.41	27.95	487.4	0.22	25.23	8.08	8.78	0.00	42.12	59.77	19.42	20.72	0.00	-10.82	-77.62	2.76	5.19	36.27	39.03	3.58
A5574	38.02828	-121.58378	Central Delta Tidal Transition Zone	Holland Cut	Jul-2022	0.50	0.26	25.65	530.05	7.83	7.79	95.59	4.81	2.17	30.17	4.74	29.44	25.69	550.5	0.26	2.59	11.07	1.14	0.00	14.85	17.45	74.58	7.70	0.00	-10.78	-77.46	0.83	2.55	14.51	15.25	1.85
A4864	38.02876	-121.48945	Central Delta Tidal Transition Zone	Columbia Cut	Jul-2022	4.33	0.25	26.18	385.29	7.62	7.46	92.20	2.42	2.24	38.92	4.78	38.50	26.18	404.4	0.19	2.34	2.86	1.64	0.00	6.83	34.48	41.81	23.95	0.00	-10.82	-77.61	4.43	3.05	18.62	22.96	2.32
A4858	38.02826	-121.49999	Central Delta Tidal Transition Zone	Columbia Cut	Jul-2022	4.47	0.25	26.35	386.98	7.57	7.35	91.24	3.71	2.28	38.60	4.96	38.18	26.36	407.2	0.19	2.52	2.81	1.75	0.00	7.08	35.56	39.66	24.73	0.00	-10.82	-77.60	4.72	3.03	18.47	23.20	2.00
A5246	38.02988	-121.40319	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	0.56	0.25	27.89	427.06	8.10	8.56	109.20	3.50	10.63	68.14	20.55	68.37	27.91	460.9	0.21	20.15	7.33	6.58	0.00	34.06	59.19	21.53	19.28	0.00	-10.82	-77.62	0.81	4.71	32.36	33.18	2.87
A5244	38.03244	-121.40483	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	0.49	0.25	27.90	416.98	8.06	8.37	106.89	3.66	9.60	65.33	18.59	65.47	27.92	450.3	0.21	18.29	6.76	5.84	0.00	30.89	59.20	21.92	18.88	0.00	-10.82	-77.62	0.74	4.55	31.03	31.78	2.57
A4861	38.03079	-121.49530	Central Delta Tidal Transition Zone	Columbia Cut	Jul-2022	4.34	0.25	26.33	388.08	7.57	7.49	92.90	3.39	2.31	39.18	4.92	38.77	26.35	408.4	0.19	2.49	2.79	1.68	0.00	6.98	35.61	40.05	24.13	0.00	-10.82	-77.61	4.56	3.06	18.74	23.26	2.07
A4417	38.03322	-121.57799	Central Delta Tidal Transition Zone	Old River	Jul-2022	0.70	0.29	25.62	512.95	7.88	7.82	95.83	4.80	2.10	29.57	4.66	29.06	25.65	532.9	0.25	2.52	10.03	1.17	0.00	13.76	18.59	72.41	8.73	0.00	-10.78	-77.45	1.23	2.52	14.23	15.12	1.84
A5242	38.03542	-121.40476	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	0.52	0.25	27.92	410.73	8.03	8.26	105.46	3.57	9.03	63.93	17.49	63.90	27.93	443.9	0.20	17.02	6.29	5.39	0.00	28.69	59.28	22.00	18.75	0.00	-10.82	-77.63	0.77	4.47	30.38	31.17	2.42
A4419	38.03596	-121.57848	Central Delta Tidal Transition Zone	Old River	Jul-2022	0.77	0.31	25.60	501.31	7.92	7.88	96.49	4.70	2.13	29.19	4.62	28.76	25.63	520.7	0.25	2.49	9.13	1.23	0.00	12.87	19.67	70.32	9.90	0.00	-10.77	-77.44	1.42	2.49	14.05	14.97	1.82
A5240	38.03829	-121.40472	Central Delta Tidal Transition Zone	Fourteenmile Slough	Jul-2022	0.54	0.25	27.97	397.35	7.94	8.01	102.34	3.23	7.91	60.91	15.36	60.95	27.98	430.3	0.20	14.53	5.46	4.65	0.00	24.65	58.85	22.33	18.79	0.00	-10.82	-77.63	0.79	4.30	28.96	29.84	2.11
A4421	38.03845	-121.58037	Central Delta Tidal Transition Zone	Old River	Jul-2022	0.72	0.32	25.60	495.73	7.92	7.91	96.86	4.61	2.19	29.22	4.61	28.73	25.63	514.2	0.25	2.46	8.54	1.26	0.00	12.28	20.24	69.09	10.53	0.00	-10.77	-77.44	1.45	2.50	14.06	14.91	1.81
A3701	38.03833	-121.48326	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	3.04	0.26	26.46	333.03	7.64	7.10	88.49	2.75	2.77	47.10	6.14	46.77	26.48	353.4	0.17	4.23	2.96	1.90	0.00	9.09	44.75	34.22	21.14	0.00	-10.82	-77.63	3.57	3.51	22.47	24.03	2.62
A4799	38.03979	-121.44372	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.56	0.29	27.67	310.98	7.65	7.03	89.32	2.39	6.23	53.45	12.23	52.16	27.70	334.8	0.15	9.43	3.76	4.21	0.00	17.43	53.93	21.74	24.13	0.00	-10.82	-77.64	0.85	3.88	25.45	26.30	3.26
A3697	38.03930	-121.48998	Central Delta Tidal Transition Zone	San Joaquin River	Jul-2022	3.73	0.26	26.19	349.23	7.70	7.17	88.82	3.00	2.36	41.35	5.21	42.47	26.20	367.5	0.17	3.31	3.02	1.57	0.00	7.91	40.16	39.43	20.19	0.00	-10.82	-77.62	4.03	3.19	19.76	23.56	2.30
A4764	38.03979	-121.48026	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	2.70	0.27	26.68	314.68	7.57	6.95	87.04	2.89	3.23	52.66	7.01	51.75	26.71	335.9	0.16	5.08	2.91	2.11	0.00	10.11	49.09	29.81	20.95	0.00	-10.82	-77.63	3.32	3.83	25.08	24.71	2.66
A4796	38.04061	-121.44723	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.61	0.27	27.53	299.45	7.64	7.04	89.24	2.44	5.64	52.37	11.23	51.28	27.56	321.2	0.15	8.69	3.58	3.74	0.00	16.04	53.86	22.73	23.23	0.00	-10.82	-77.64	0.88	3.82	24.95	25.83	3.22
A4807	38.04101	-121.43571	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.58	0.25	27.84	333.34	7.69	7.25	92.40	2.45	7.31	54.90	14.23	53.63	27.87	360.4	0.16	11.16	4.25	5.16	0.00	20.60	54.02	20.81	25.07	0.00	-10.82	-77.64	0.83	3.96	26.13	26.96	3.12
A4828	38.04134	-121.41096	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.49	0.25	27.90	380.14	7.78	7.46	95.23	3.09	6.65	56.81	13.12	57.88	27.93	411.7	0.19	11.45	5.03	3.77	0.00	20.23	56.44	25.01	18.69	0.00	-10.82	-77.63	0.74	4.07	27.03	27.72	1.82
A4423	38.04132	-121.58001	Central Delta Tidal Transition Zone	Old River	Jul-2022	0.97	0.31	25.59	481.03	7.97	7.97	97.67	4.67	2.17	28.32	4.60	28.12	25.62	499.5	0.24	2.45	7.94	1.36	0.00	11.77	21.05	67.01	11.86	0.00	-10.77	-77.43	1.57	2.44	13.64	14.80	1.80
A4826	38.04185	-121.41450	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.49	0.25	27.93	365.97	7.72	7.28	92.94	3.10	6.37	55.13	12.63	56.45	27.96	396.9	0.18	10.47	4.78	3.70	0.00	18.95	55.22	25.24	19.56	0.00	-10.82	-77.63	0.74	3.97	26.24	26.98	1.81
A4817	38.04188	-121.42315	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.51	0.25	27.88	356.61	7.69	7.29	93.01	2.89	6.94	55.22	13.65	55.71	27.91	386.5	0.18	11.20	4.84	4.28	0.00	20.33	55.09	23.84	20.99	0.00	-10.82	-77.64	0.76	3.98	26.28	27.03	2.24
A4830	38.04182	-121.40738	Central Delta Tidal Transition Zone	Disappointment Slough	Jul-2022	0.49	0.25	28.02	379.14	7.79	7.50	95.93	3.06	6.65	55.97	13.08	57.70	28.03	411.8	0.19	11.72	4.88	3.82	0.00	20.39	57.37	24.09	18.66	0.00	-10.82	-77.63	0.74	4.02	26.64	27.73	1.74
